phase,category,question,template_id,generated_cypher,answer,if_correct
Phase 1,Pathway-centric Queries,List reactions in path:gmx00603 pathway,T024,MATCH (p:Pathway {id: 'path:gmx00603'})-[:CONTAINS]->(r:Reaction) RETURN r,"[{'r': {'equation': 'G10609 + G13080 <=> G10619 + G13081', 'link': 'https://rest.kegg.jp/get/R11377', 'definition': 'UDP-D-galactose + NORint <=> UDP + NOR2 antigen', 'id': 'R11377'}}, {'r': {'equation': 'G10609 + G00094 <=> G10619 + G11492', 'link': 'https://rest.kegg.jp/get/R11376', 'definition': 'UDP-D-galactose + Globoside <=> UDP + IV4-alpha-Gal-Gb4Cer', 'id': 'R11376'}}, {'r': {'equation': 'C00001 + G00093 <=> C00124 + G00092', 'link': 'https://rest.kegg.jp/get/R05961', 'definition': 'H2O + Globotriaosylceramide <=> D-Galactose + Lactosylceramide', 'id': 'R05961'}}, {'r': {'equation': 'C00001 + G00094 <=> C01132 + G00093', 'link': 'https://rest.kegg.jp/get/R05963', 'definition': 'H2O + Globoside <=> N-Acetyl-D-galactosamine + Globotriaosylceramide', 'id': 'R05963'}}, {'r': {'equation': 'G10609 + G00092 <=> G10619 + G00093', 'link': 'https://rest.kegg.jp/get/R05960', 'definition': 'UDP-D-galactose + Lactosylceramide <=> UDP + Globotriaosylceramide', 'id': 'R05960'}}]",1
Phase 1,Pathway-centric Queries,What functional units are in pathway path:gmx00061?,T025,MATCH (p:Pathway {id: 'path:gmx00061'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f,"[{'f': {'name': 'ko:K13370', 'id': 'path:gmx00061_331', 'type': 'ortholog'}}]",1
Phase 1,Pathway-centric Queries,Show complexes in path:ath00061 pathway,T025,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f,"[{'f': {'name': 'ko:K13370', 'id': 'path:ath00061_331', 'type': 'ortholog'}}]",1
Phase 1,Pathway-centric Queries,Find functional units in pathway path:ats00603,T025,MATCH (p:Pathway {id: 'path:ats00603'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f,[],1
Phase 1,Pathway-centric Queries,Get complexes in path:ats00280 pathway,T025,MATCH (p:Pathway {id: 'path:ats00280'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f,[],1
Phase 1,Pathway-centric Queries,Which functional units are part of pathway path:gmx01040?,T025,MATCH (p:Pathway {id: 'path:gmx01040'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f,"[{'f': {'name': 'ko:K10247 ko:K10249', 'id': 'path:gmx01040_444', 'type': 'ortholog'}}, {'f': {'name': 'ko:K10247 ko:K10248', 'id': 'path:gmx01040_436', 'type': 'ortholog'}}, {'f': {'name': 'ko:K10244 ko:K10250', 'id': 'path:gmx01040_415', 'type': 'ortholog'}}, {'f': {'name': 'ko:K10248 ko:K10250 ko:K10244', 'id': 'path:gmx01040_411', 'type': 'ortholog'}}, {'f': {'name': 'ko:K10244', 'id': 'path:gmx01040_407', 'type': 'ortholog'}}, {'f': {'name': 'ko:K10244 ko:K10203', 'id': 'path:gmx01040_362', 'type': 'ortholog'}}, {'f': {'name': 'ko:K10249', 'id': 'path:gmx01040_321', 'type': 'ortholog'}}, {'f': {'name': 'ko:K10247 ko:K10246', 'id': 'path:gmx01040_316', 'type': 'ortholog'}}, {'f': {'name': 'ko:K10244 ko:K10245 ko:K10246', 'id': 'path:gmx01040_280', 'type': 'ortholog'}}, {'f': {'name': 'ko:K10205 ko:K10244 ko:K10245 ko:K10246', 'id': 'path:gmx01040_276', 'type': 'ortholog'}}, {'f': {'name': 'ko:K10247 ko:K10250 ko:K10245 ko:K10246', 'id': 'path:gmx01040_263', 'type': 'ortholog'}}, {'",1
Phase 1,Pathway-centric Queries,List complexes in fatty acid biosynthesis,CUSTOM,"MATCH (p:Pathway)-[:CONTAINS]->(f:FunctionalUnit) 
WHERE p.title CONTAINS 'fatty acid biosynthesis' 
RETURN f",[],1
Phase 1,Reverse Pathway Queries,Which pathways contain reaction R07449?,T026,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p,"[{'p': {'image': 'https://www.kegg.jp/kegg/pathway/ats/ats00905.png', 'species': 'ATS', 'link': 'https://www.kegg.jp/kegg-bin/show_pathway?ats00905', 'id': 'path:ats00905', 'source': 'KEGG', 'title': 'Brassinosteroid biosynthesis'}}]",1
Phase 1,Reverse Pathway Queries,Show pathways with reaction R07449,T026,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p,"[{'p': {'image': 'https://www.kegg.jp/kegg/pathway/ats/ats00905.png', 'species': 'ATS', 'link': 'https://www.kegg.jp/kegg-bin/show_pathway?ats00905', 'id': 'path:ats00905', 'source': 'KEGG', 'title': 'Brassinosteroid biosynthesis'}}]",1
Phase 1,Reverse Pathway Queries,Find pathways including reaction R07449,T026,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p,"[{'p': {'image': 'https://www.kegg.jp/kegg/pathway/ats/ats00905.png', 'species': 'ATS', 'link': 'https://www.kegg.jp/kegg-bin/show_pathway?ats00905', 'id': 'path:ats00905', 'source': 'KEGG', 'title': 'Brassinosteroid biosynthesis'}}]",1
Phase 1,Reverse Pathway Queries,Get pathways for reaction R07449,T026,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p,"[{'p': {'image': 'https://www.kegg.jp/kegg/pathway/ats/ats00905.png', 'species': 'ATS', 'link': 'https://www.kegg.jp/kegg-bin/show_pathway?ats00905', 'id': 'path:ats00905', 'source': 'KEGG', 'title': 'Brassinosteroid biosynthesis'}}]",1
Phase 1,Reverse Pathway Queries,Which pathways have reaction R00200?,T026,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R00200'}) RETURN p,[],1
Phase 1,Reverse Pathway Queries,List pathways containing reaction R07449,T026,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p,"[{'p': {'image': 'https://www.kegg.jp/kegg/pathway/ats/ats00905.png', 'species': 'ATS', 'link': 'https://www.kegg.jp/kegg-bin/show_pathway?ats00905', 'id': 'path:ats00905', 'source': 'KEGG', 'title': 'Brassinosteroid biosynthesis'}}]",1
Phase 1,Aggregation Queries,How many enzymes does gene ats:109733199 encode?,T036,MATCH (g:Gene {id: 'ats:109733199'})-[r:ENCODES]->(e:EC) RETURN count(r),[{'count(r)': 0}],1
Phase 1,Aggregation Queries,Count reactions catalyzed by EC:1.1.1.1,CUSTOM,"MATCH (e:EC {id: 'EC:1.1.1.1'})-[:CATALYZES]->(r:Reaction)
RETURN count(r) AS reaction_count",[{'reaction_count': 2}],1
Phase 1,Aggregation Queries,How many reactions use compound C00022 as substrate?,CUSTOM,"MATCH (c:Compound {id: 'C00022'})-[:SUBSTRATE_OF]->(r:Reaction)
RETURN count(r) AS reactionCount;",[{'reactionCount': 2}],1
Phase 1,Aggregation Queries,Count genes in ortholog K00010,T038,MATCH (g:Gene)-[r:BELONGS_TO]->(o:Ortholog {id: 'K00010'}) RETURN count(r),[{'count(r)': 0}],1
Phase 1,Aggregation Queries,How many reactions are in pathway ko00010?,T037,MATCH (p:Pathway {id: 'path:ko00010'})-[r:CONTAINS]->(rxn:Reaction) RETURN count(r) AS reactionCount,[{'reactionCount': 0}],1
Phase 1,Aggregation Queries,Count functional units in pathway ko00020,CUSTOM,MATCH (p:Pathway {id: 'path:ko00020'})-[:CONTAINS]->(f:FunctionalUnit) RETURN count(f) AS functionalUnitCount;,[{'functionalUnitCount': 0}],1
Phase 1,Aggregation Queries,How many genes encode enzyme EC:1.1.1.1?,CUSTOM,"MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:1.1.1.1'})
RETURN count(g) AS gene_count",[{'gene_count': 23}],1
Phase 1,Aggregation Queries,Count genes in ortholog K00010,T038,MATCH (g:Gene)-[r:BELONGS_TO]->(o:Ortholog {id: 'K00010'}) RETURN count(r),[{'count(r)': 0}],1
Phase 1,Aggregation Queries,How many reactions produce compound C00022?,CUSTOM,"MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00022'})
RETURN count(r) AS numReactions;",[{'numReactions': 0}],1
Phase 1,Aggregation Queries,Count enzymes that catalyze reaction R00001?,CUSTOM,"MATCH (e:EC)-[:CATALYZES]->(r:Reaction {id: 'R00001'})
RETURN count(e) AS enzyme_count",[{'enzyme_count': 0}],1
Phase 1,Aggregation Queries,How many compounds are substrates of reaction R00010?,CUSTOM,"MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R00010'})
RETURN count(c) AS substrate_count",[{'substrate_count': 0}],1
Phase 1,Aggregation Queries,Count reactions in pathway ko00010,T037,MATCH (p:Pathway {id: 'path:ko00010'})-[r:CONTAINS]->(rxn:Reaction) RETURN count(r),[{'count(r)': 0}],1
Phase 1,Aggregation Queries,What types of nodes is gene ats:109761713 connected to?,CUSTOM,MATCH (g:Gene {id: 'ats:109761713'})-[r]- (n) RETURN DISTINCT labels(n) AS nodeTypes,[{'nodeTypes': ['FunctionalUnit']}],1
Phase 1,Aggregation Queries,Show node types connected to pathway path:ats01040,CUSTOM,MATCH (p:Pathway {id: 'path:ats01040'})-[:CONTAINS]->(n) RETURN DISTINCT labels(n) AS nodeTypes,"[{'nodeTypes': ['FunctionalUnit']}, {'nodeTypes': ['Reaction']}]",1
Phase 1,Aggregation Queries,What entities does compound C06000 interact with?,CUSTOM,"MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r
UNION
MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C06000'}) RETURN r","[{'r': {'equation': 'C06000 + C00001 <=> C00010 + C06001', 'link': 'https://rest.kegg.jp/get/R05064', 'name': '(S)-3-hydroxyisobutyryl-CoA hydrolase', 'definition': '(S)-3-Hydroxyisobutyryl-CoA + H2O <=> CoA + (S)-3-Hydroxyisobutyrate', 'id': 'R05064'}}, {'r': {'equation': 'C03460 + C00001 <=> C06000', 'link': 'https://rest.kegg.jp/get/R04224', 'name': '(S)-3-hydroxyisobutyryl-CoA hydro-lyase', 'definition': '2-Methylprop-2-enoyl-CoA + H2O <=> (S)-3-Hydroxyisobutyryl-CoA', 'id': 'R04224'}}]",1
Phase 1,Aggregation Queries,List node types connected to enzyme EC:1.3.1.21,CUSTOM,MATCH (e:EC {id: 'EC:1.3.1.21'})-[]-(n) RETURN DISTINCT labels(n) AS nodeTypes,"[{'nodeTypes': ['Reaction']}, {'nodeTypes': ['Gene']}, {'nodeTypes': ['Ortholog']}]",1
Phase 1,Aggregation Queries,What types of nodes connect to reaction R07764?,CUSTOM,"MATCH (n)-[rel]->(rct:Reaction {id: 'R07764'}) RETURN DISTINCT labels(n) AS nodeTypes
UNION
MATCH (rct:Reaction {id: 'R07764'})-[rel]->(n) RETURN DISTINCT labels(n) AS nodeTypes","[{'nodeTypes': ['Pathway']}, {'nodeTypes': ['EC']}, {'nodeTypes': ['Ortholog']}, {'nodeTypes': ['Compound']}]",1
Phase 1,Aggregation Queries,Show entity types linked to ortholog K11262,CUSTOM,"MATCH (o:Ortholog {id: 'K11262'})-[r]->(n)
UNION
MATCH (n)-[r]->(o:Ortholog {id: 'K11262'})
UNWIND labels(n) AS l
RETURN DISTINCT l AS entityType",[],1
Phase 1,Aggregation Queries,What is connected to gene ath:AT1G54220?,CUSTOM,"MATCH (g:Gene {id: 'ath:AT1G54220'})-[r]- (connected) RETURN type(r) AS relationship, connected","[{'relationship': 'ENCODES', 'connected': {'names': ['dihydrolipoyllysine-residue acetyltransferase', 'acetyl-CoA:dihydrolipoamide S-acetyltransferase', 'dihydrolipoamide S-acetyltransferase', 'dihydrolipoate acetyltransferase', 'dihydrolipoic transacetylase', 'dihydrolipoyl acetyltransferase', 'lipoate acetyltransferase', 'lipoate transacetylase', 'lipoic acetyltransferase', 'lipoic acid acetyltransferase', 'lipoic transacetylase', 'lipoylacetyltransferase', 'thioltransacetylase A', 'transacetylase X', 'enzyme-dihydrolipoyllysine:acetyl-CoA S-acetyltransferase', 'acetyl-CoA:enzyme 6-N-(dihydrolipoyl)lysine S-acetyltransferase'], 'sysname': 'acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase', 'name': 'dihydrolipoyllysine-residue acetyltransferase', 'link': 'https://rest.kegg.jp/get/2.3.1.12', 'id': 'EC:2.3.1.12'}}, {'relationship': 'BELONGS_TO', 'connected': {'symbol': 'DLAT, aceF, pdhC', 'link': 'https://rest.kegg.jp/get/K00627', 'name': 'pyruvate dehydrogenase E2 compone",1
Phase 1,Aggregation Queries,Show all neighbors of compound C00164,CUSTOM,MATCH (c:Compound {id: 'C00164'})-[:SUBSTRATE_OF]->(r:Reaction) UNION MATCH (c:Compound {id: 'C00164'})<-[:PRODUCES]-(r:Reaction) RETURN r LIMIT 20,[],1
Phase 1,Aggregation Queries,Find all entities connected to enzyme EC:1.13.11.33,CUSTOM,"MATCH (e:EC {id: 'EC:1.13.11.33'})-[:CATALYZES]->(r:Reaction) RETURN r
UNION
MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:1.13.11.33'}) RETURN g
UNION
MATCH (o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(e:EC {id: 'EC:1.13.11.33'}) RETURN o",[],1
Phase 1,Aggregation Queries,Get neighbors of reaction R01280,CUSTOM,"MATCH (r:Reaction {id: 'R01280'})-[rel]->(n) RETURN n, type(rel) UNION MATCH (n)-[rel]->(r) RETURN n, type(rel)","['C00013', 'C00154', 'C00020', 'path:ats00061', 'K13370', 'path:ats00062', 'path:ats00071', 'path:ats00100', 'path:ats00280', 'path:ats00310', 'path:ats00511', 'K01186', 'K12357', 'K23550', 'ats:109732741', 'ats:109779197', 'ats:109767527', 'ats:109775477', 'ats:109735074', 'ats:109741796', 'ats:109746620', 'ats:109748080', 'ats:109763601', 'ats:120965235', 'ats:109750018', 'ats:109732591', 'ats:109733520', 'ats:109743038', 'ats:109759461', 'ats:109779325', 'K01192', 'ats:109741928', 'ats:109742039', 'ats:109745953', 'ats:109761559', 'ats:109774573', 'ats:109777237', 'path:ats00561', 'path:ats00564', 'C00346', 'C00001', 'R06870', 'ats:109783536', 'K06124', 'K06124', 'ats:109783536', 'EC:3.1.3.75', 'C00588', 'R06871', 'path:ats00565', 'path:ats00590', 'path:ats00591', 'path:ats00592', 'path:ats00600', 'ats:109738837', 'ats:109775315', 'ats:109778434', 'ats:109786765', 'K12383', 'path:ats00603', 'path:ats00905', 'C15791', 'R07444', 'ats:109756808', 'K09589', 'EC:1.14.-.-', 'C15799', 'R07",1
Phase 1,Aggregation Queries,What connects to pathway path:gmx00280?,CUSTOM,MATCH (p:Pathway {id: 'path:gmx00280'})-[:CONTAINS]->(n) RETURN n,"['R02050', 'R03383', 'R03172', 'R01090', 'R04097', 'R07601', 'R02662', 'R02661', 'R04224', 'R05064', 'R05066', 'R00922', 'R03869', 'R02199', 'R07599', 'R03174', 'R04204', 'R00927', 'R01214', 'R07603', 'R04095', 'R04137', 'R04138', 'R02085', 'R01360', 'R01978', 'R00238', 'R07602', 'R07600', 'R07618', 'R07604']",1
Phase 1,Aggregation Queries,Show all nodes linked to ortholog K00249,CUSTOM,"MATCH (o:Ortholog {id: 'K00249'})-[:CATALYZES]->(r:Reaction) RETURN r
UNION
MATCH (o)-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
UNION
MATCH (g)-[:BELONGS_TO]->(o) RETURN g",[],1
Phase 1,Aggregation Queries,Which pathways have the most reactions?,T039,"MATCH (p:Pathway)-[r:CONTAINS]->(rxn:Reaction) RETURN p.id, count(r) AS cnt ORDER BY cnt DESC LIMIT 10","[{'p.id': 'path:gmx01212', 'cnt': 86}, {'p.id': 'path:ats01212', 'cnt': 86}, {'p.id': 'path:ath01212', 'cnt': 86}, {'p.id': 'path:csat01212', 'cnt': 86}, {'p.id': 'path:gmx00061', 'cnt': 61}, {'p.id': 'path:ath00061', 'cnt': 61}, {'p.id': 'path:csat00061', 'cnt': 61}, {'p.id': 'path:ats00061', 'cnt': 61}, {'p.id': 'path:ats00564', 'cnt': 48}, {'p.id': 'path:gmx00564', 'cnt': 46}]",1
Phase 1,Aggregation Queries,Rank pathways by number of reactions,T039,"MATCH (p:Pathway)-[r:CONTAINS]->(rxn:Reaction) RETURN p.id, count(r) AS cnt ORDER BY cnt DESC LIMIT 10","[{'p.id': 'path:gmx01212', 'cnt': 86}, {'p.id': 'path:ats01212', 'cnt': 86}, {'p.id': 'path:ath01212', 'cnt': 86}, {'p.id': 'path:csat01212', 'cnt': 86}, {'p.id': 'path:gmx00061', 'cnt': 61}, {'p.id': 'path:ath00061', 'cnt': 61}, {'p.id': 'path:csat00061', 'cnt': 61}, {'p.id': 'path:ats00061', 'cnt': 61}, {'p.id': 'path:ats00564', 'cnt': 48}, {'p.id': 'path:gmx00564', 'cnt': 46}]",1
Phase 1,Aggregation Queries,Show pathway sizes based on reaction count,CUSTOM,"MATCH (p:Pathway)-[r:CONTAINS]->(rxn:Reaction)
RETURN p.id AS pathway_id, count(r) AS reaction_count
ORDER BY reaction_count DESC","[{'pathway_id': 'path:ats01212', 'reaction_count': 86}, {'pathway_id': 'path:gmx01212', 'reaction_count': 86}, {'pathway_id': 'path:ath01212', 'reaction_count': 86}, {'pathway_id': 'path:csat01212', 'reaction_count': 86}, {'pathway_id': 'path:ats00061', 'reaction_count': 61}, {'pathway_id': 'path:gmx00061', 'reaction_count': 61}, {'pathway_id': 'path:ath00061', 'reaction_count': 61}, {'pathway_id': 'path:csat00061', 'reaction_count': 61}, {'pathway_id': 'path:ats00564', 'reaction_count': 48}, {'pathway_id': 'path:gmx00564', 'reaction_count': 46}, {'pathway_id': 'path:ath00564', 'reaction_count': 46}, {'pathway_id': 'path:csat00564', 'reaction_count': 46}, {'pathway_id': 'path:ath00100', 'reaction_count': 42}, {'pathway_id': 'path:ats00100', 'reaction_count': 41}, {'pathway_id': 'path:gmx00100', 'reaction_count': 41}, {'pathway_id': 'path:csat00100', 'reaction_count': 41}, {'pathway_id': 'path:ats00071', 'reaction_count': 33}, {'pathway_id': 'path:gmx00071', 'reaction_count': 33}, {'pat",1
Phase 1,Aggregation Queries,Find largest pathways by reaction R06871 number,CUSTOM,"MATCH (p:Pathway)-[:CONTAINS]->(r1:Reaction {id: 'R06871'})
WITH p
MATCH (p)-[:CONTAINS]->(r:Reaction)
WITH p, count(r) AS reactionCount
ORDER BY reactionCount DESC
RETURN p, reactionCount","[{'p': {'image': 'https://www.kegg.jp/kegg/pathway/ats/ats00564.png', 'species': 'ATS', 'link': 'https://www.kegg.jp/kegg-bin/show_pathway?ats00564', 'id': 'path:ats00564', 'source': 'KEGG', 'title': 'Glycerophospholipid metabolism'}, 'reactionCount': 48}]",1
Phase 1,Aggregation Queries,Order pathways by reaction count,T039 (modified without LIMIT),"MATCH (p:Pathway)-[r:CONTAINS]->(rxn:Reaction)  
RETURN p.id, count(r) AS cnt  
ORDER BY cnt DESC","[{'p.id': 'path:ats01212', 'cnt': 86}, {'p.id': 'path:gmx01212', 'cnt': 86}, {'p.id': 'path:ath01212', 'cnt': 86}, {'p.id': 'path:csat01212', 'cnt': 86}, {'p.id': 'path:ats00061', 'cnt': 61}, {'p.id': 'path:gmx00061', 'cnt': 61}, {'p.id': 'path:ath00061', 'cnt': 61}, {'p.id': 'path:csat00061', 'cnt': 61}, {'p.id': 'path:ats00564', 'cnt': 48}, {'p.id': 'path:gmx00564', 'cnt': 46}, {'p.id': 'path:ath00564', 'cnt': 46}, {'p.id': 'path:csat00564', 'cnt': 46}, {'p.id': 'path:ath00100', 'cnt': 42}, {'p.id': 'path:ats00100', 'cnt': 41}, {'p.id': 'path:gmx00100', 'cnt': 41}, {'p.id': 'path:csat00100', 'cnt': 41}, {'p.id': 'path:ats00071', 'cnt': 33}, {'p.id': 'path:gmx00071', 'cnt': 33}, {'p.id': 'path:ath00071', 'cnt': 33}, {'p.id': 'path:csat00071', 'cnt': 33}, {'p.id': 'path:ats00280', 'cnt': 31}, {'p.id': 'path:gmx00280', 'cnt': 31}, {'p.id': 'path:ath00280', 'cnt': 31}, {'p.id': 'path:csat00280', 'cnt': 31}, {'p.id': 'path:gmx00600', 'cnt': 28}, {'p.id': 'path:ats00600', 'cnt': 26}, {'p.i",1
Phase 1,Aggregation Queries,List pathways from most to least reactions,T039,"MATCH (p:Pathway)-[r:CONTAINS]->(rxn:Reaction) RETURN p.id, count(r) AS cnt ORDER BY cnt DESC","[{'p.id': 'path:ats01212', 'cnt': 86}, {'p.id': 'path:gmx01212', 'cnt': 86}, {'p.id': 'path:ath01212', 'cnt': 86}, {'p.id': 'path:csat01212', 'cnt': 86}, {'p.id': 'path:ats00061', 'cnt': 61}, {'p.id': 'path:gmx00061', 'cnt': 61}, {'p.id': 'path:ath00061', 'cnt': 61}, {'p.id': 'path:csat00061', 'cnt': 61}, {'p.id': 'path:ats00564', 'cnt': 48}, {'p.id': 'path:gmx00564', 'cnt': 46}, {'p.id': 'path:ath00564', 'cnt': 46}, {'p.id': 'path:csat00564', 'cnt': 46}, {'p.id': 'path:ath00100', 'cnt': 42}, {'p.id': 'path:ats00100', 'cnt': 41}, {'p.id': 'path:gmx00100', 'cnt': 41}, {'p.id': 'path:csat00100', 'cnt': 41}, {'p.id': 'path:ats00071', 'cnt': 33}, {'p.id': 'path:gmx00071', 'cnt': 33}, {'p.id': 'path:ath00071', 'cnt': 33}, {'p.id': 'path:csat00071', 'cnt': 33}, {'p.id': 'path:ats00280', 'cnt': 31}, {'p.id': 'path:gmx00280', 'cnt': 31}, {'p.id': 'path:ath00280', 'cnt': 31}, {'p.id': 'path:csat00280', 'cnt': 31}, {'p.id': 'path:gmx00600', 'cnt': 28}, {'p.id': 'path:ats00600', 'cnt': 26}, {'p.i",1
Phase 1,Aggregation Queries,Which genes encode multiple enzymes?,CUSTOM,"MATCH (g:Gene)-[:ENCODES]->(e:EC)
WITH g, count(e) AS enzymeCount
WHERE enzymeCount > 1
RETURN g, enzymeCount","[{'g': {'species': 'gmx', 'name': '(RefSeq) palmitoyl-acyl carrier protein thioesterase, chloroplastic isoform X1', 'link': 'https://rest.kegg.jp/get/gmx:100814191', 'position': '6:13994924..13998067', 'id': 'gmx:100814191'}, 'enzymeCount': 2}, {'g': {'species': 'gmx', 'name': '(RefSeq) palmitoyl-acyl carrier protein thioesterase, chloroplastic isoform X2', 'link': 'https://rest.kegg.jp/get/gmx:100797796', 'position': '4:complement(32542178..32546969)', 'id': 'gmx:100797796'}, 'enzymeCount': 2}, {'g': {'species': 'gmx', 'name': '(RefSeq) acyl-[acyl-carrier-protein] hydrolase FATB2, chloroplastic', 'link': 'https://rest.kegg.jp/get/gmx:100795014', 'position': '6:13984428..13988509', 'id': 'gmx:100795014'}, 'enzymeCount': 2}, {'g': {'species': 'gmx', 'name': '(RefSeq) palmitoyl-acyl carrier protein thioesterase, chloroplastic', 'link': 'https://rest.kegg.jp/get/gmx:100791811', 'position': '4:complement(45777254..45781665)', 'id': 'gmx:100791811'}, 'enzymeCount': 2}, {'g': {'species': 'gm",1
Phase 1,Aggregation Queries,Find orthologs that catalyze more than 5 reactions,CUSTOM,"MATCH (o:Ortholog)-[:CATALYZES]->(r:Reaction)
WITH o, count(r) AS cnt
WHERE cnt > 5
RETURN o, cnt","[{'o': {'symbol': 'FATB', 'link': 'https://rest.kegg.jp/get/K10781', 'name': 'fatty acyl-ACP thioesterase B [EC:3.1.2.14 3.1.2.21]', 'id': 'K10781'}, 'cnt': 6}, {'o': {'symbol': 'fabI', 'link': 'https://rest.kegg.jp/get/K00208', 'name': 'enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]', 'id': 'K00208'}, 'cnt': 18}, {'o': {'symbol': 'fabK', 'link': 'https://rest.kegg.jp/get/K02371', 'name': 'enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]', 'id': 'K02371'}, 'cnt': 10}, {'o': {'symbol': 'fas', 'link': 'https://rest.kegg.jp/get/K11533', 'name': 'fatty acid synthase, bacteria type [EC:2.3.1.-]', 'id': 'K11533'}, 'cnt': 34}, {'o': {'symbol': 'fabV, ter', 'link': 'https://rest.kegg.jp/get/K00209', 'name': 'enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]', 'id': 'K00209'}, 'cnt': 9}, {'o': {'symbol': 'fabZ', 'link': 'https://rest.kegg.jp/get/K02372', 'name': '3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]'",1
Phase 1,Aggregation Queries,Show compounds used in multiple reactions,CUSTOM,"MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction)
WITH c, count(r) AS cnt
WHERE cnt > 1
RETURN c","[{'c': {'names': ['H2O', 'Water'], 'name': 'H2O', 'link': 'https://rest.kegg.jp/get/C00001', 'formula': 'H2O', 'id': 'C00001', 'exact_mass': '18.0106'}}, {'c': {'names': ['Ethanolamine phosphate', 'O-Phosphorylethanolamine', 'Phosphoethanolamine', 'O-Phosphoethanolamine'], 'name': 'Ethanolamine phosphate', 'link': 'https://rest.kegg.jp/get/C00346', 'formula': 'C2H8NO4P', 'id': 'C00346', 'exact_mass': '141.0191'}}, {'c': {'names': ['Choline phosphate', 'Phosphorylcholine', 'Phosphocholine', 'O-Phosphocholine'], 'name': 'Choline phosphate', 'link': 'https://rest.kegg.jp/get/C00588', 'formula': 'C5H15NO4P', 'id': 'C00588', 'exact_mass': '184.0739'}}, {'c': {'names': ['Teasterone', '(3beta,5alpha,22R,23R,24S)-3,22,23-Trihydroxyergostan-6-one'], 'name': 'Teasterone', 'link': 'https://rest.kegg.jp/get/C15791', 'formula': 'C28H48O4', 'id': 'C15791', 'exact_mass': '448.3553'}}, {'c': {'names': ['6-Deoxoteasterone'], 'name': '6-Deoxoteasterone', 'link': 'https://rest.kegg.jp/get/C15799', 'formu",1
Phase 1,Aggregation Queries,Which enzymes catalyze more than 3 reactions?,CUSTOM,"MATCH (e:EC)-[:CATALYZES]->(r:Reaction)
WITH e, count(r) AS reactionCount
WHERE reactionCount > 3
RETURN e, reactionCount","[{'e': {'names': ['oleoyl-[acyl-carrier-protein] hydrolase', 'acyl-[acyl-carrier-protein] hydrolase', 'acyl-ACP-hydrolase', 'acyl-acyl carrier protein hydrolase', 'oleoyl-ACP thioesterase', 'oleoyl-acyl carrier protein thioesterase'], 'sysname': 'oleoyl-[acyl-carrier protein] hydrolase', 'name': 'oleoyl-[acyl-carrier-protein] hydrolase', 'link': 'https://rest.kegg.jp/get/3.1.2.14', 'id': 'EC:3.1.2.14'}, 'reactionCount': 8}, {'e': {'names': ['dodecanoyl-[acyl-carrier-protein] hydrolase', 'lauryl-acyl-carrier-protein hydrolase', 'dodecanoyl-acyl-carrier-protein hydrolase', 'dodecyl-acyl-carrier protein hydrolase', 'dodecanoyl-[acyl-carrier protein] hydrolase'], 'sysname': 'dodecanoyl-[acyl-carrier protein] hydrolase', 'name': 'dodecanoyl-[acyl-carrier-protein] hydrolase', 'link': 'https://rest.kegg.jp/get/3.1.2.21', 'id': 'EC:3.1.2.21'}, 'reactionCount': 4}, {'e': {'names': ['enoyl-[acyl-carrier-protein] reductase (NADH)', 'enoyl-[acyl carrier protein] reductase', 'enoyl-ACP reductase', ",1
