phase,category,question,check,cypher_executable,generated_cypher,generation_type
Phase 1,Pathway-centric Queries,Show complexes in path:ath00061 pathway,1.0,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]-(f:FunctionalUnit) RETURN f,Template
Phase 1,Pathway-centric Queries,Find functional units in pathway path:ats00603,1.0,MATCH (p:Pathway {id: 'path:ats00603'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f,MATCH (p:Pathway {id: 'path:ats00603'})-[:CONTAINS]-(f:FunctionalUnit) RETURN f,Template
Phase 1,Pathway-centric Queries,Get complexes in path:ats00280 pathway,1.0,MATCH (p:Pathway {id: 'path:ats00280'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f,MATCH (p:Pathway {id: 'path:ats00280'})-[:CONTAINS]-(f:FunctionalUnit) RETURN f,Template
Phase 1,Pathway-centric Queries,Which functional units are part of pathway path:gmx01040?,1.0,MATCH (p:Pathway {id: 'path:gmx01040'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f,MATCH (p:Pathway {id: 'path:gmx01040'})-[:CONTAINS]-(f:FunctionalUnit) RETURN f,Template
Phase 1,Pathway-centric Queries,List complexes in fatty acid biosynthesis,1.0,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f,MATCH (p:Pathway {id: 'path:ats00061'})-[:CONTAINS]-(f:FunctionalUnit) RETURN f,Template
Phase 1,Reverse Pathway Queries,Which pathways contain reaction R07449?,1.0,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'R07449'}) RETURN p,Template
Phase 1,Reverse Pathway Queries,Show pathways with reaction R07449,1.0,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'R07449'}) RETURN p,Template
Phase 1,Reverse Pathway Queries,Find pathways including reaction R07449,1.0,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'R07449'}) RETURN p,Template
Phase 1,Reverse Pathway Queries,Get pathways for reaction R07449,1.0,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'R07449'}) RETURN p,Template
Phase 1,Reverse Pathway Queries,Which pathways have reaction R00200?,1.0,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R00200'}) RETURN p,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'R00200'}) RETURN p,Template
Phase 1,Reverse Pathway Queries,List pathways containing reaction R07449,1.0,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'R07449'}) RETURN p,Template
Phase 1,Aggregation Queries,How many enzymes does gene ats:109733199 encode?,1.0,MATCH (n {id: 'ats:109733199'})-[r]->(m) RETURN count(r),MATCH (g:Gene {id: 'ats:109733199'})-[r:ENCODES]-(e:EC) RETURN count(r),Template
Phase 1,Aggregation Queries,Count reactions catalyzed by EC:1.1.1.1,1.0,MATCH (n {id: 'EC:1.1.1.1'})-[r]->(m) RETURN count(r),MATCH (e:EC {id: 'EC:1.1.1.1'})-[:CATALYZES]-(r:Reaction) RETURN COUNT(r),Template
Phase 1,Aggregation Queries,How many reactions use compound C00022 as substrate?,,MATCH (n {id: 'C00022'})-[r]->(m) RETURN count(r),MATCH (c:Compound {id: 'C00022'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN count(r),Template
Phase 1,Aggregation Queries,Count genes in ortholog K00010,,MATCH (n)-[r]->(m:{id:'K00010'}) RETURN count(r),MATCH (o:Ortholog {id: 'K00010'})-[r:BELONGS_TO]-(g:Gene) RETURN count(r),Template
Phase 1,Aggregation Queries,How many reactions are in pathway ko00010?,,MATCH (n {id: $id})-[r]->(m) RETURN count(r),MATCH (p:Pathway {id: 'path:ko00010'})-[r:CONTAINS]-(rxn:Reaction) RETURN count(r),Template
Phase 1,Aggregation Queries,Count functional units in pathway ko00020,,MATCH (n {id: $id})-[r]->(m) RETURN count(r),MATCH (p:Pathway {id: 'path:ko00020'})-[r:CONTAINS]-(rxn:Reaction) RETURN count(r),Template
Phase 1,Aggregation Queries,How many genes encode enzyme EC:1.1.1.1?,,MATCH (n)-[r]->(m {id: 'EC:1.1.1.1'}) RETURN count(r),MATCH (n:EC {id: 'EC:1.1.1.1'}) MATCH (gene:Gene)-[:ENCODES]->(n) RETURN count(DISTINCT gene),Template
Phase 1,Aggregation Queries,Count genes in ortholog K00010,,MATCH (n)-[r]->(m {id: 'K00010'}) RETURN count(r),MATCH (o:Ortholog {id: 'K00010'})-[r:BELONGS_TO]-(g:Gene) RETURN count(r),Template
Phase 1,Aggregation Queries,How many reactions produce compound C00022?,,MATCH (n)-[r]->(m {id: 'C00022'}) RETURN count(r),MATCH (c:Compound {id: 'C00022'})-[:PRODUCT_OF]-(r:Reaction) RETURN count(r),Template
Phase 1,Aggregation Queries,Count enzymes that catalyze reaction R00001?,,MATCH (n)-[r]->(m {id: 'R00001'}) RETURN count(r),MATCH (e:EC)-[:CATALYZES]-(r:Reaction {id: 'R00001'}) RETURN count(e),Template
Phase 1,Aggregation Queries,How many compounds are substrates of reaction R00010?,,MATCH (n)-[r]->(m {id: 'R00010'}) RETURN count(r),MATCH (c:Compound)-[:SUBSTRATE_OF]-(r:Reaction {id: 'R00010'}) RETURN count(c),Template
Phase 1,Aggregation Queries,Count reactions in pathway ko00010,,MATCH (n)-[r]->(m {id: $id}) RETURN count(r),MATCH (p:Pathway {id: 'path:ko00010'})-[r:CONTAINS]-(rxn:Reaction) RETURN count(r),Template
Phase 1,Aggregation Queries,What types of nodes is gene ats:109761713 connected to?,,MATCH (n {id: 'ats:109761713'})-[]->(m) RETURN DISTINCT labels(m),MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]-(e:EC) RETURN e,Template
Phase 1,Aggregation Queries,Show node types connected to pathway path:ats01040,,MATCH (n {id: 'path:ats01040'})-[]->(m) RETURN DISTINCT labels(m),MATCH (p:Pathway {id: 'path:ats01040'})-[:CONTAINS]-(r:Reaction) RETURN DISTINCT labels(r),Template
Phase 1,Aggregation Queries,What entities does compound C06000 interact with?,,MATCH (n {id: 'C06000'})-[]->(m) RETURN DISTINCT labels(m),MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,Template
Phase 1,Aggregation Queries,List node types connected to enzyme EC:1.3.1.21,,MATCH (n {id: 'EC:1.3.1.21'})-[]->(m) RETURN DISTINCT labels(m),MATCH (e:EC {id: 'EC:1.3.1.21'})-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 1,Aggregation Queries,What types of nodes connect to reaction R07764?,,MATCH (n {id: 'R07764'})-[]->(m) RETURN DISTINCT labels(m),MATCH (r:Reaction {id: 'R07764'})-[rel]-(n) RETURN DISTINCT labels(n),Template
Phase 1,Aggregation Queries,Show entity types linked to ortholog K11262,,MATCH (n {id: 'K11262'})-[]->(m) RETURN DISTINCT labels(m),MATCH (g:Gene)-[:BELONGS_TO]-(o:Ortholog {id: 'K11262'}) RETURN g,Template
Phase 1,Aggregation Queries,What is connected to gene ath:AT1G54220?,,MATCH (n {id: 'AT1G54220'})-[]-(m) RETURN m,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:ENCODES]-(e:EC) RETURN e,Template
Phase 1,Aggregation Queries,Show all neighbors of compound C00164,,MATCH (n {id: 'C00164'})-[]-(m) RETURN m,MATCH (c1:Compound {id: 'C00164'})-[:SUBSTRATE_OF]-(r:Reaction)-[:PRODUCES]-(c2:Compound) RETURN c2,Template
Phase 1,Aggregation Queries,Find all entities connected to enzyme EC:1.13.11.33,,MATCH (n {id: 'EC:1.13.11.33'})-[]-(m) RETURN m,MATCH (e:EC {id: 'EC:1.13.11.33'})-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 1,Aggregation Queries,Get neighbors of reaction R01280,,MATCH (n {id: 'R01280'})-[]-(m) RETURN m,MATCH (c:Compound)-[:SUBSTRATE_OF]-(r:Reaction {id: 'R01280'}) RETURN c,Template
Phase 1,Aggregation Queries,What connects to pathway path:gmx00280?,,MATCH (n {id: 'path:gmx00280'})-[]-(m) RETURN m,MATCH (p:Pathway {id: 'path:gmx00280'})-[:CONTAINS]-(r:Reaction) RETURN r,Template
Phase 1,Aggregation Queries,Show all nodes linked to ortholog K00249,,MATCH (n {id: 'K00249'})-[]-(m) RETURN m,"MATCH (o:Ortholog {id: 'K00249'})-[r]-() RETURN r, startNode(r), endNode(r)",Template
Phase 1,Aggregation Queries,Which pathways have the most reactions?,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC","MATCH (p:Pathway)-[r:CONTAINS]-(rxn:Reaction) RETURN p.id, count(r) AS cnt ORDER BY cnt DESC LIMIT 10",Template
Phase 1,Aggregation Queries,Rank pathways by number of reactions,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC","MATCH (p:Pathway)-[r:CONTAINS]->(rxn:Reaction) RETURN p.id, count(r) AS numReactions ORDER BY numReactions DESC",Template
Phase 1,Aggregation Queries,Show pathway sizes based on reaction count,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC","MATCH (p:Pathway)-[:CONTAINS]->(rxn:Reaction) RETURN p.id, count(rxn) AS reactionCount",Template
Phase 1,Aggregation Queries,Find largest pathways by reaction R06871 number,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC","MATCH (p:Pathway)-[:CONTAINS]-(r_specific:Reaction {id: 'R06871'}) MATCH (p)-[:CONTAINS]-(r_all:Reaction) WITH p, COUNT(r_all) AS totalReactions ORDER BY totalReactions DESC RETURN p",Template
Phase 1,Aggregation Queries,Order pathways by reaction count,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC","MATCH (p:Pathway)OPTIONAL MATCH (p)-[r:CONTAINS]->(rxn:Reaction)RETURN p.name AS PathwayName, count(r) AS ReactionCountORDER BY ReactionCount DESC",Template
Phase 1,Aggregation Queries,List pathways from most to least reactions,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC","MATCH (p:Pathway)-[r:CONTAINS]-(rxn:Reaction) RETURN p.id, count(r) AS cnt ORDER BY cnt DESC LIMIT 10",Template
Phase 1,Aggregation Queries,Which genes encode multiple enzymes?,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g","MATCH (g:Gene)-[:ENCODES]->(e:EC) WITH g, count(e) AS num_enzymes WHERE num_enzymes > 1 RETURN g",Template
Phase 1,Aggregation Queries,Find orthologs that catalyze more than 5 reactions,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g","MATCH (p:Pathway)-[r:CONTAINS]-(rxn:Reaction) WITH p, count(r) as cnt WHERE cnt > 10 RETURN p",Template
Phase 1,Aggregation Queries,Show compounds used in multiple reactions,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g","MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction)
WITH c, COUNT(DISTINCT r) AS numReactions
WHERE numReactions > 1
RETURN c",Template
Phase 1,Aggregation Queries,Which enzymes catalyze more than 3 reactions?,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g","MATCH (e:EC)-[:CATALYZES]->(r:Reaction) WITH e, COUNT(r) AS numReactions WHERE numReactions > 3 RETURN e",Template
Phase 1,Aggregation Queries,Find pathways with more than 10 reactions,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g","MATCH (p:Pathway)-[r:CONTAINS]-(rxn:Reaction) WITH p, count(r) as cnt WHERE cnt > 10 RETURN p",Template
Phase 1,Aggregation Queries,List reactions with multiple substrates,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g","MATCH (r:Reaction)-[rel:SUBSTRATE_OF]->(c:Compound) WITH r, count(rel) as input_cnt WHERE input_cnt > 2 RETURN r",Template
Phase 1,Filtering & Pattern Matching,Find genes starting with AT1G,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n,MATCH (n:Gene) WHERE n.id STARTS WITH 'AT1G' RETURN n LIMIT 20,Template
Phase 1,Filtering & Pattern Matching,Show enzymes starting with EC:1.1,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n,MATCH (n:EC) WHERE n.id STARTS WITH 'EC:1' RETURN n LIMIT 20,Template
Phase 1,Filtering & Pattern Matching,Get compounds starting with C000,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n,MATCH (n:Compound) WHERE n.id STARTS WITH 'C000' RETURN n LIMIT 20,Template
Phase 1,Filtering & Pattern Matching,List pathways starting with path:ats00280,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n,MATCH (n:Pathway) WHERE n.id STARTS WITH 'path:ats00280' RETURN n LIMIT 20,Template
Phase 1,Filtering & Pattern Matching,Find reactions starting with R000,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n,MATCH (n:Reaction) WHERE n.id STARTS WITH 'R000' RETURN n LIMIT 20,Template
Phase 1,Filtering & Pattern Matching,Show orthologs starting with K00,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n,MATCH (n:Ortholog) WHERE n.id STARTS WITH 'K00' RETURN n LIMIT 20,Template
Phase 1,Filtering & Pattern Matching,Which genes encode enzymes?,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g,MATCH (g:Gene)-[:ENCODES]-(e:EC) RETURN g,Template
Phase 1,Filtering & Pattern Matching,Find compounds that are substrates,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction)-[:SUBSTRATE_OF]-(c:Compound) RETURN DISTINCT c,Template
Phase 1,Filtering & Pattern Matching,Show enzymes that catalyze reactions,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g,MATCH (e:EC)-[:CATALYZES]-(r:Reaction) RETURN e,Template
Phase 1,Filtering & Pattern Matching,Get reactions with substrates,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g,MATCH (c:Compound {id: 'EC:2.7.7.14'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,Template
Phase 1,Filtering & Pattern Matching,Which pathways contain reactions?,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction) RETURN p,Template
Phase 1,Filtering & Pattern Matching,Find orthologs with enzyme EC:1.3.1.9 functions,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g,MATCH (g:Gene)-[:ENCODES]-(e:EC {id: 'EC:1.3.1.9'}) RETURN g,Template
Phase 1,Filtering & Pattern Matching,Which genes don't encode any enzymes?,1.0,MATCH (g:Gene) WHERE NOT EXISTS((g)-[:ENCODES]->()) RETURN g,MATCH (g:Gene) WHERE NOT (g)-[:ENCODES]->(:EC) RETURN g,Template
Phase 1,Filtering & Pattern Matching,Find compounds that aren't substrates,1.0,MATCH (g:Compound) WHERE NOT EXISTS((g)-[:SUBSTRATE_OF]->()) RETURN g,MATCH (n:Compound) WHERE NOT EXISTS { (n)-[:SUBSTRATE_IN]->() } RETURN n,Template
Phase 1,Filtering & Pattern Matching,Show enzymes that don't catalyze reactions,1.0,MATCH (g:EC) WHERE NOT EXISTS((g)-[:CATALYZES]->()) RETURN g,MATCH (n:EC) RETURN n LIMIT 50,Template
Phase 1,Filtering & Pattern Matching,Get reactions without products,1.0,MATCH (g:Reaction) WHERE NOT EXISTS((g)-[:PRODUCTS]->()) RETURN g,MATCH (r:Reaction) WHERE NOT (r)-[:PRODUCES]-() RETURN r,Template
Phase 1,Filtering & Pattern Matching,Find orthologs without enzyme functions,1.0,MATCH (g:Ortholog) WHERE NOT EXISTS((g)-[:HAS_ENZYME_FUNCTION]->()) RETURN g,MATCH (e:EC) WHERE NOT (e)-[:CATALYZES]-() RETURN e,Template
Phase 1,Filtering & Pattern Matching,Show both genes and orthologs,1.0,MATCH (n) WHERE n:Gene OR n:Ortholog RETURN n LIMIT 100,MATCH (n:Gene) RETURN n LIMIT 50,Template
Phase 1,Filtering & Pattern Matching,Find either enzymes or reactions,1.0,MATCH (n) WHERE n:EC OR n:Reaction RETURN n LIMIT 100,MATCH (n:EC) RETURN n,Template
Phase 1,Filtering & Pattern Matching,Get compounds or pathways,1.0,MATCH (n) WHERE n:Gene OR n:Ortholog RETURN n LIMIT 100,MATCH (n:Compound) RETURN n LIMIT 50,Template
Phase 1,Filtering & Pattern Matching,List genes and enzymes,1.0,MATCH (n) WHERE n:Gene OR n:EC RETURN n LIMIT 100,MATCH (n:Gene) RETURN n LIMIT 50,Template
Phase 1,Filtering & Pattern Matching,Show reactions and compounds,1.0,MATCH (n) WHERE n:Reaction OR n:Compounds RETURN n LIMIT 100,MATCH (n:Reaction) RETURN n LIMIT 50,Template
Phase 1,Filtering & Pattern Matching,Find orthologs or functional units,1.0,MATCH (n) WHERE n:Ortholog OR n:FunctionalUnit RETURN n LIMIT 100,MATCH (n:Ortholog) RETURN n LIMIT 50,Template
Phase 1,Filtering & Pattern Matching,Which genes are most connected?,1.0,"MATCH (n:Gene)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10","MATCH (g:Gene)-[:ENCODES]->(e:EC) RETURN g, count(e) AS connections ORDER BY connections DESC",Template
Phase 1,Filtering & Pattern Matching,Find most connected compounds,1.0,"MATCH (n:Compound)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10","MATCH (n:Compound) RETURN n, SIZE((n)--()) AS connections ORDER BY connections DESC LIMIT 1",Template
Phase 1,Filtering & Pattern Matching,Show enzymes with most connections,1.0,"MATCH (n:EC)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10",MATCH (n:EC) RETURN n LIMIT 50,Template
Phase 1,Filtering & Pattern Matching,Get most connected reactions,1.0,"MATCH (n:Reaction)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10","MATCH (r:Reaction)-[rel:SUBSTRATE_OF]->(c:Compound) WITH r, count(rel) as input_cnt WHERE input_cnt > 2 RETURN r",Template
Phase 1,Filtering & Pattern Matching,Which pathways have most connections?,1.0,"MATCH (n:Pathway)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10","MATCH (p:Pathway)-[r:CONTAINS]-(rxn:Reaction) RETURN p.id, count(r) AS cnt ORDER BY cnt DESC LIMIT 10",Template
Phase 1,Filtering & Pattern Matching,Find hub orthologs in the network,1.0,"MATCH (n:Ortholog)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10",MATCH (n:Ortholog) RETURN n LIMIT 50,Template
Phase 1,Filtering & Pattern Matching,Show me 10 random genes,1.0,MATCH (n:Gene) RETURN n LIMIT 10,MATCH (n:Gene) RETURN n LIMIT 50,Template
Phase 1,Filtering & Pattern Matching,Get 5 sample pathways,1.0,MATCH (n:Pathway) RETURN n LIMIT 5,MATCH (n:Pathway) RETURN n LIMIT 50,Template
Phase 1,Filtering & Pattern Matching,Display 20 compounds,1.0,MATCH (n:Compound) RETURN n LIMIT 20,MATCH (n:Compound) RETURN n LIMIT 50,Template
Phase 1,Filtering & Pattern Matching,Give me 15 reactions,1.0,MATCH (n:Reaction) RETURN n LIMIT 15,MATCH (n:Reaction) RETURN n LIMIT 50,Template
Phase 1,Filtering & Pattern Matching,Show 10 example enzymes,1.0,MATCH (n:EC) RETURN n LIMIT 10,MATCH (n:EC) RETURN n LIMIT 50,Template
Phase 1,Filtering & Pattern Matching,List 5 orthologs,1.0,MATCH (n:Ortholog) RETURN n LIMIT 5,MATCH (n:Ortholog) RETURN n LIMIT 50,Template
Phase 2,2-Hop Queries,What reactions is gene ath:AT1G01040 involved in through its ortholog?,1.0,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]-(o:Ortholog)-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 2,2-Hop Queries,Show reactions catalyzed by the ortholog of gene ath:AT1G01050,1.0,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]-(o:Ortholog)-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 2,2-Hop Queries,Find reactions for gene ats:109733199 via ortholog,1.0,MATCH (g:Gene {id: 'ats:109733199'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (g:Gene {id: 'ats:109733199'})-[:BELONGS_TO]-(o:Ortholog)-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 2,2-Hop Queries,Get reactions that gene ats:109761713 participates in through ortholog,1.0,MATCH (g:Gene {id: 'ats:109761713'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (g:Gene {id: 'ats:109761713'})-[:BELONGS_TO]-(o:Ortholog)-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 2,2-Hop Queries,Which reactions does gene ath:AT1G54220 indirectly catalyze?,1.0,MATCH (g:Gene {id: 'AT1G54220'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:ENCODES]-(e:EC)-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 2,2-Hop Queries,List reactions connected to gene ath:AT2G06990 through ortholog groups,1.0,MATCH (g:Gene {id: 'AT2G06990'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (g:Gene {id: 'ath:AT2G06990'})-[:BELONGS_TO]-(o:Ortholog)-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 2,2-Hop Queries,What reactions does gene ath:AT5G61540 catalyze through its enzymes?,1.0,MATCH (g:Gene {id: 'AT5G61540'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (g:Gene {id: 'ath:AT5G61540'})-[:ENCODES]-(e:EC)-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 2,2-Hop Queries,Show reactions for gene gmx:100217331 via encoded enzymes,1.0,MATCH (g:Gene {id: 'gmx:100217331'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (g:Gene {id: 'gmx:100217331'})-[:ENCODES]-(e:EC)-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 2,2-Hop Queries,Find reactions catalyzed by enzymes from gene EC:1.3.1.10,1.0,MATCH (g:Gene {id: 'EC:1.3.1.10'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (e:EC {id: 'EC:1.3.1.10'})-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 2,2-Hop Queries,Get reactions that gene ats:109745953 affects through EC numbers,1.0,MATCH (g:Gene {id: 'ats:109745953'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (g:Gene {id: 'ats:109745953'})-[:ENCODES]-(e:EC)-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 2,2-Hop Queries,Which reactions are influenced by gene gmx:100037478?,1.0,MATCH (g:Gene {id: 'gmx:100037478'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (g:Gene {id: 'gmx:100037478'})-[:ENCODES]-(e:EC)-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 2,2-Hop Queries,List reactions connected to gene EC:4.2.1.59 through enzymes,1.0,MATCH (g:Gene {id: 'EC:4.2.1.59'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (e:EC {id: 'EC:4.2.1.59'})-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 2,2-Hop Queries,What compounds are produced from compound C06000?,1.0,MATCH (c1:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2,MATCH (c1:Compound {id: 'C06000'})-[:SUBSTRATE_OF]-(r:Reaction)-[:PRODUCES]-(c2:Compound) RETURN c2,Template
Phase 2,2-Hop Queries,Show products when C00024 is used as substrate,1.0,MATCH (c1:Compound {id: 'C00024'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2,MATCH (n:Compound {id: 'C00024'}) RETURN n,Template
Phase 2,2-Hop Queries,Find compounds made from C00164,1.0,MATCH (c1:Compound {id: 'C00164'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2,MATCH (c1:Compound {id: 'C00164'})-[:SUBSTRATE_OF]-(r:Reaction)-[:PRODUCES]-(c2:Compound) RETURN c2,Template
Phase 2,2-Hop Queries,Get output compounds for substrate C08813,1.0,MATCH (c1:Compound {id: 'C08813'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2,MATCH (c1:Compound {id: 'C08813'})-[:SUBSTRATE_OF]-(r:Reaction)-[:PRODUCES]-(c2:Compound) RETURN c2,Template
Phase 2,2-Hop Queries,Which compounds are synthesized from C03069?,1.0,MATCH (c1:Compound {id: 'C03069'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2,MATCH (c1:Compound {id: 'C03069'})-[:SUBSTRATE_OF]-(r:Reaction)-[:PRODUCES]-(c2:Compound) RETURN c2,Template
Phase 2,2-Hop Queries,What can be produced using compound C00183 as input?,1.0,MATCH (c1:Compound {id: 'C00183'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2,MATCH (c1:Compound {id: 'C00183'})-[:SUBSTRATE_OF]-(r:Reaction)-[:PRODUCES]-(c2:Compound) RETURN c2,Template
Phase 2,2-Hop Queries,What enzyme functions does gene ath:AT1G01040 have through ortholog?,1.0,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:ENCODES]-(e:EC) RETURN e,Template
