phase,category,question,check,cypher_executable
Phase 1,Filtering & Pattern Matching,Which genes are most connected?,1,"MATCH (n:Gene)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10"
Phase 1,Filtering & Pattern Matching,Find most connected compounds,1,"MATCH (n:Compound)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10"
Phase 1,Filtering & Pattern Matching,Show enzymes with most connections,1,"MATCH (n:EC)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10"
Phase 1,Filtering & Pattern Matching,Get most connected reactions,1,"MATCH (n:Reaction)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10"
Phase 1,Filtering & Pattern Matching,Which pathways have most connections?,1,"MATCH (n:Pathway)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10"
Phase 1,Filtering & Pattern Matching,Find hub orthologs in the network,1,"MATCH (n:Ortholog)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10"
Phase 1,Filtering & Pattern Matching,Show me 10 random genes,1,MATCH (n:Gene) RETURN n LIMIT 10
Phase 1,Filtering & Pattern Matching,Get 5 sample pathways,1,MATCH (n:Pathway) RETURN n LIMIT 5
Phase 1,Filtering & Pattern Matching,Display 20 compounds,1,MATCH (n:Compound) RETURN n LIMIT 20
Phase 1,Filtering & Pattern Matching,Give me 15 reactions,1,MATCH (n:Reaction) RETURN n LIMIT 15
Phase 1,Filtering & Pattern Matching,Show 10 example enzymes,1,MATCH (n:EC) RETURN n LIMIT 10
Phase 1,Filtering & Pattern Matching,List 5 orthologs,1,MATCH (n:Ortholog) RETURN n LIMIT 5
Phase 2,2-Hop Queries,What reactions is gene ath:AT1G01040 involved in through its ortholog?,1,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r
Phase 2,2-Hop Queries,Show reactions catalyzed by the ortholog of gene ath:AT1G01050,1,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r
Phase 2,2-Hop Queries,Find reactions for gene ats:109733199 via ortholog,1,MATCH (g:Gene {id: 'ats:109733199'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r
Phase 2,2-Hop Queries,Get reactions that gene ats:109761713 participates in through ortholog,1,MATCH (g:Gene {id: 'ats:109761713'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r
Phase 2,2-Hop Queries,Which reactions does gene ath:AT1G54220 indirectly catalyze?,1,MATCH (g:Gene {id: 'AT1G54220'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r
Phase 2,2-Hop Queries,List reactions connected to gene ath:AT2G06990 through ortholog groups,1,MATCH (g:Gene {id: 'AT2G06990'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r
Phase 2,2-Hop Queries,What reactions does gene ath:AT5G61540 catalyze through its enzymes?,1,MATCH (g:Gene {id: 'AT5G61540'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r
Phase 2,2-Hop Queries,Show reactions for gene gmx:100217331 via encoded enzymes,1,MATCH (g:Gene {id: 'gmx:100217331'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r
Phase 2,2-Hop Queries,Find reactions catalyzed by enzymes from gene EC:1.3.1.10,1,MATCH (g:Gene {id: 'EC:1.3.1.10'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r
Phase 2,2-Hop Queries,Get reactions that gene ats:109745953 affects through EC numbers,1,MATCH (g:Gene {id: 'ats:109745953'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r
Phase 2,2-Hop Queries,Which reactions are influenced by gene gmx:100037478?,1,MATCH (g:Gene {id: 'gmx:100037478'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r
Phase 2,2-Hop Queries,List reactions connected to gene EC:4.2.1.59 through enzymes,1,MATCH (g:Gene {id: 'EC:4.2.1.59'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r
Phase 2,2-Hop Queries,What compounds are produced from compound C06000?,1,MATCH (c1:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2
Phase 2,2-Hop Queries,Show products when C00024 is used as substrate,1,MATCH (c1:Compound {id: 'C00024'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2
Phase 2,2-Hop Queries,Find compounds made from C00164,1,MATCH (c1:Compound {id: 'C00164'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2
Phase 2,2-Hop Queries,Get output compounds for substrate C08813,1,MATCH (c1:Compound {id: 'C08813'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2
Phase 2,2-Hop Queries,Which compounds are synthesized from C03069?,1,MATCH (c1:Compound {id: 'C03069'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2
Phase 2,2-Hop Queries,What can be produced using compound C00183 as input?,1,MATCH (c1:Compound {id: 'C00183'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2
Phase 2,2-Hop Queries,What enzyme functions does gene ath:AT1G01040 have through ortholog?,1,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
Phase 2,2-Hop Queries,Show EC numbers for gene ath:AT1G01050 via ortholog,1,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
Phase 2,2-Hop Queries,Find enzyme activities of gene gmx:547808 through KO group,1,MATCH (g:Gene {id: 'gmx:547808'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
Phase 2,2-Hop Queries,Get EC numbers associated with gene ats:109733199 via ortholog,1,MATCH (g:Gene {id: 'ats:109733199'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
Phase 2,2-Hop Queries,Which enzymes does gene ats:109761713 relate to through ortholog?,1,MATCH (g:Gene {id: 'ats:109761713'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
Phase 2,2-Hop Queries,List enzyme functions for gene ath:AT1G54220 via ortholog groups,1,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
Phase 2,2-Hop Queries,What reactions use products from reaction R06871?,1,MATCH (r1:Reaction {id: 'R06871'})-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,2-Hop Queries,Show downstream reactions of reaction R10826,1,MATCH (r1:Reaction {id: 'R10826'})-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,2-Hop Queries,Find reactions that consume products of reaction R03777,1,MATCH (r1:Reaction {id: 'R03777'})-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,2-Hop Queries,Get reactions following reaction R02814,1,MATCH (r1:Reaction {id: 'R02814'})-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,2-Hop Queries,Which reactions use outputs from reaction R04957?,1,MATCH (r1:Reaction {id: 'R04957'})-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,2-Hop Queries,List next reactions after reaction R07449,1,MATCH (r1:Reaction {id: 'R07449'})-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,2-Hop Queries,What compounds are produced in pathway path:gmx00603?,1,MATCH (p:Pathway {id: 'path:gmx00603'})-[:CONTAINS]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN DISTINCT c
Phase 2,2-Hop Queries,Show all products of path:ath00603 pathway,1,MATCH (p:Pathway {id: 'path:ath00603'})-[:CONTAINS]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN DISTINCT c
Phase 2,2-Hop Queries,Find compounds made in pathway path:ats01040,1,MATCH (p:Pathway {id: 'path:ats01040'})-[:CONTAINS]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN DISTINCT c
Phase 2,2-Hop Queries,Which compounds are synthesized in pathway path:gmx00280?,1,MATCH (p:Pathway {id: 'path:gmx00280'})-[:CONTAINS]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN DISTINCT c
Phase 2,2-Hop Queries,List all products from path:gmx00061 pathway,1,MATCH (p:Pathway {id: 'path:gmx00061'})-[:CONTAINS]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN DISTINCT c
Phase 2,2-Hop Queries,What compounds are consumed in pathway path:ath00061?,1,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(r:Reaction)<-[:SUBSTRATE_OF]-(c:Compound) RETURN DISTINCT c
Phase 2,2-Hop Queries,Find input compounds for pathway path:ats00603,1,MATCH (p:Pathway {id: 'path:ats00603'})-[:CONTAINS]->(r:Reaction)<-[:SUBSTRATE_OF]-(c:Compound) RETURN DISTINCT c
Phase 2,2-Hop Queries,Which compounds are consumed in pathway path:ats00280?,1,MATCH (p:Pathway {id: 'path:ats00280'})-[:CONTAINS]->(r:Reaction)<-[:SUBSTRATE_OF]-(c:Compound) RETURN DISTINCT c
Phase 2,2-Hop Queries,What enzymes are associated with functional unit M00001?,,MATCH (f:FunctionalUnit {id: $id})<-[:MEMBER_OF]-(n)-[:ENCODES|HAS_ENZYME_FUNCTION]->(e:EC) RETURN DISTINCT e
Phase 2,2-Hop Queries,Show EC numbers for complex M00002,,MATCH (f:FunctionalUnit {id: $id})<-[:MEMBER_OF]-(n)-[:ENCODES|HAS_ENZYME_FUNCTION]->(e:EC) RETURN DISTINCT e
Phase 2,2-Hop Queries,Find enzyme EC:1.3.1.9 activities in functional unit M00003,,MATCH (f:FunctionalUnit {id: 'EC:1.3.1.9'})<-[:MEMBER_OF]-(n)-[:ENCODES|HAS_ENZYME_FUNCTION]->(e:EC) RETURN DISTINCT e
Phase 2,2-Hop Queries,Get enzymes for complex M00004,,MATCH (f:FunctionalUnit {id: $id})<-[:MEMBER_OF]-(n)-[:ENCODES|HAS_ENZYME_FUNCTION]->(e:EC) RETURN DISTINCT e
Phase 2,2-Hop Queries,Which EC numbers relate to functional unit M00005?,,MATCH (f:FunctionalUnit {id: $id})<-[:MEMBER_OF]-(n)-[:ENCODES|HAS_ENZYME_FUNCTION]->(e:EC) RETURN DISTINCT e
Phase 2,2-Hop Queries,List enzymes in complex M00006,,MATCH (f:FunctionalUnit {id: $id})<-[:MEMBER_OF]-(n)-[:ENCODES|HAS_ENZYME_FUNCTION]->(e:EC) RETURN DISTINCT e
Phase 2,3-Hop Queries,What compounds does gene ath:AT2G06990 help produce?,,MATCH (g:Gene {id: 'AT2G06990'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
Phase 2,3-Hop Queries,Show products from gene ath:AT5G61540 via ortholog pathway,,MATCH (g:Gene {id: 'AT5G61540'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
Phase 2,3-Hop Queries,Find compounds synthesized by gene gmx:100217331,,MATCH (g:Gene {id: 'gmx:100217331'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
Phase 2,3-Hop Queries,Get output compounds from gene ats:109745953,,MATCH (g:Gene {id: 'ats:109745953'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
Phase 2,3-Hop Queries,Which compounds are produced through gene gmx:100037478?,,MATCH (g:Gene {id: 'gmx:100037478'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
Phase 2,3-Hop Queries,List compounds made by gene ath:AT1G01040 via ortholog,,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
Phase 2,3-Hop Queries,What compounds does gene ath:AT1G01050 produce through enzymes?,,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
Phase 2,3-Hop Queries,Show products from gene ats:109733199 via EC pathway,,MATCH (g:Gene {id: 'ats:109733199'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
Phase 2,3-Hop Queries,Find compounds made by gene ats:109761713 through enzymes,,MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
Phase 2,3-Hop Queries,Get products from gene ath:AT1G54220 via enzyme catalysis,,MATCH (g:Gene {id: 'AT1G54220'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
Phase 2,3-Hop Queries,Which compounds result from gene ath:AT2G06990 activity?,,MATCH (g:Gene {id: 'AT2G06990'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
Phase 2,3-Hop Queries,List compounds produced by gene ath:AT5G61540 via enzymes,,MATCH (g:Gene {id: 'AT5G61540'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
Phase 2,3-Hop Queries,What reactions follow pathway path:gmx01040?,,MATCH (p:Pathway {id: 'path:gmx01040'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,3-Hop Queries,Show downstream reactions from glycolysis products,,MATCH (p:Pathway {id: 'path:ath00010'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,3-Hop Queries,Find reactions that use outputs from pathway path:ath00280,,MATCH (p:Pathway {id: 'path:ath00280'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,3-Hop Queries,Get subsequent reactions after TCA cycle,,MATCH (p:Pathway {id: 'path:ath00020'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,3-Hop Queries,Which reactions consume products from pathway path:gmx00603?,,MATCH (p:Pathway {id: 'path:gmx00603'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,3-Hop Queries,List reactions following fatty acid biosynthesis,,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,3-Hop Queries,What reactions are two steps downstream from compound C01181?,,MATCH (c1:Compound {id: 'C01181'})-[:SUBSTRATE_OF]->(r1:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,3-Hop Queries,Show reactions in the second step after using R06870,,MATCH (c1:Compound {id: 'R06870'})-[:SUBSTRATE_OF]->(r1:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,3-Hop Queries,Find reactions two hops away from compound C00422,,MATCH (c1:Compound {id: 'C00422'})-[:SUBSTRATE_OF]->(r1:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,3-Hop Queries,Get second-level reactions from R06871,,MATCH (c1:Compound {id: 'R06871'})-[:SUBSTRATE_OF]->(r1:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,3-Hop Queries,Which reactions are reached through two conversions from R10826?,,MATCH (c1:Compound {id: 'R10826'})-[:SUBSTRATE_OF]->(r1:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,3-Hop Queries,List reactions two steps after R03777,,MATCH (c1:Compound {id: 'R03777'})-[:SUBSTRATE_OF]->(r1:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
Phase 2,3-Hop Queries,Which pathways is gene gmx:100217331 involved in?,,MATCH (g:Gene {id: 'gmx:100217331'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
Phase 2,3-Hop Queries,Show pathways for gene ats:109745953 through ortholog,,MATCH (g:Gene {id: 'ats:109745953'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
Phase 2,3-Hop Queries,Find pathways connected to gene gmx:100037478,,MATCH (g:Gene {id: 'gmx:100037478'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
Phase 2,3-Hop Queries,Get pathways that gene ath:AT1G01040 participates in,,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
Phase 2,3-Hop Queries,Which pathways involve gene ath:AT1G01050?,,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
Phase 2,3-Hop Queries,List pathways for gene ats:109733199 via ortholog,,MATCH (g:Gene {id: 'ats:109733199'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
Phase 2,3-Hop Queries,Which pathways does gene ats:109761713 affect through enzymes?,,MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
Phase 2,3-Hop Queries,Show pathways for gene ath:AT1G54220 via encoded EC,,MATCH (g:Gene {id: 'AT1G54220'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
Phase 2,3-Hop Queries,Find pathways influenced by gene ath:AT2G06990,,MATCH (g:Gene {id: 'AT2G06990'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
Phase 2,3-Hop Queries,Get pathways connected to gene ath:AT5G61540 through enzymes,,MATCH (g:Gene {id: 'AT5G61540'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
Phase 2,3-Hop Queries,Which pathways involve gene gmx:100217331 via EC numbers?,,MATCH (g:Gene {id: 'gmx:100217331'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
Phase 2,3-Hop Queries,List pathways for gene ats:109745953 through enzymes,,MATCH (g:Gene {id: 'ats:109745953'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
Phase 2,Variable-Length Paths,How is compound EC:1.3.1.21 connected to EC:1.3.1.21?,,MATCH path = (c1:Compound {id: 'EC:1.3.1.21'1})-[:SUBSTRATE_OF|PRODUCES*1..5]-(c2:Compound {id: 'EC:1.3.1.21'2}) RETURN path
Phase 2,Variable-Length Paths,Show pathways between path:ath00603 and path:ath00603,,MATCH path = (c1:Compound {id: 'path:ath00603'1})-[:SUBSTRATE_OF|PRODUCES*1..5]-(c2:Compound {id: 'path:ath00603'2}) RETURN path
Phase 2,Variable-Length Paths,Find conversion routes from C00035 to C00037,,MATCH path = (c1:Compound {id: 'C00035'1})-[:SUBSTRATE_OF|PRODUCES*1..5]-(c2:Compound {id: 'C00035'2}) RETURN path
Phase 2,Variable-Length Paths,Get paths connecting C00041 to C00043,,MATCH path = (c1:Compound {id: 'C00041'1})-[:SUBSTRATE_OF|PRODUCES*1..5]-(c2:Compound {id: 'C00041'2}) RETURN path
Phase 2,Variable-Length Paths,Which reactions link C00041 to C00043?,,MATCH path = (c1:Compound {id: 'C00041'1})-[:SUBSTRATE_OF|PRODUCES*1..5]-(c2:Compound {id: 'C00041'2}) RETURN path
Phase 2,Variable-Length Paths,Show metabolic route from C00058 to C00062,,MATCH path = (c1:Compound {id: 'C00058'1})-[:SUBSTRATE_OF|PRODUCES*1..5]-(c2:Compound {id: 'C00058'2}) RETURN path
Phase 2,Variable-Length Paths,What's the shortest connection between gene path:ats01040 and pathway path:ats01040?,,MATCH path = shortestPath((n1 {id: 'path:ats01040'})-[*..5]-(n2 {id: 'path:ats01040'})) RETURN path
Phase 2,Variable-Length Paths,Find shortest path from compound EC:1.13.11.33 to enzyme EC:1.13.11.33,,MATCH path = shortestPath((n1 {id: 'EC:1.13.11.33'})-[*..5]-(n2 {id: 'EC:1.13.11.33'})) RETURN path
Phase 2,Variable-Length Paths,Get shortest connection between ortholog path:gmx00280 and pathway path:gmx00280,,MATCH path = shortestPath((n1 {id: 'path:gmx00280'})-[*..5]-(n2 {id: 'path:gmx00280'})) RETURN path
Phase 2,Variable-Length Paths,What's the closest path from enzyme EC:6.4.1.2 to compound EC:6.4.1.2?,,MATCH path = shortestPath((n1 {id: 'EC:6.4.1.2'})-[*..5]-(n2 {id: 'EC:6.4.1.1'})) RETURN path
Phase 2,Variable-Length Paths,Find minimum hops from gene ath:AT1G01040 to reaction ath:AT1G01040,,MATCH path = shortestPath((n1 {id: 'C00058'})-[*..5]-(n2 {id: 'C00062'})) RETURN path
Phase 2,Variable-Length Paths,What is within 2 steps of gene ath:AT1G01050?,1,MATCH (n {id: 'ath:AT1G01050'})-[*1..2]-(m) RETURN DISTINCT m
Phase 2,Variable-Length Paths,Show all entities within 2 hops of compound C00052,1,MATCH (n {id: 'C00052'})-[*1..2]-(m) RETURN DISTINCT m
Phase 2,Variable-Length Paths,Find everything connected within 2 steps of pathway path:gmx00061,1,MATCH (n {id: 'path:gmx00061'})-[*1..2]-(m) RETURN DISTINCT m
Phase 2,Variable-Length Paths,Get neighbors within 2 hops of enzyme EC:2.3.1.199,1,MATCH (n {id: 'EC:2.3.1.199'})-[*1..2]-(m) RETURN DISTINCT m
Phase 2,Variable-Length Paths,Which entities are 2 steps from reaction R04957?,1,MATCH (n {id: 'R04957'})-[*1..2]-(m) RETURN DISTINCT m
Phase 2,Variable-Length Paths,List all nodes within 2 hops of ortholog K10246,1,MATCH (n {id: 'K10246'})-[*1..2]-(m) RETURN DISTINCT m
Phase 2,Variable-Length Paths,Show the metabolic cascade starting from compound C06157,1,MATCH path = (c:Compound {id: 'C06157'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->()-[:SUBSTRATE_OF*0..3]->() RETURN path
Phase 2,Variable-Length Paths,What happens downstream from C00024?,1,MATCH path = (c:Compound {id: 'C00024'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->()-[:SUBSTRATE_OF*0..3]->() RETURN path
Phase 2,Variable-Length Paths,Trace the pathway forward from compound C06000,1,MATCH path = (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->()-[:SUBSTRATE_OF*0..3]->() RETURN path
Phase 2,Variable-Length Paths,Show metabolic flow from C00033,1,MATCH path = (c:Compound {id: 'C00033'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->()-[:SUBSTRATE_OF*0..3]->() RETURN path
Phase 2,Variable-Length Paths,What are the downstream products of C00035?,1,MATCH path = (c:Compound {id: 'C00035'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->()-[:SUBSTRATE_OF*0..3]->() RETURN path
Phase 2,Variable-Length Paths,Trace metabolic progression from C00037,1,MATCH path = (c:Compound {id: 'C00037'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->()-[:SUBSTRATE_OF*0..3]->() RETURN path
Phase 2,Intersection & Union Queries,Which reactions are shared between pathways path:ath00061 and path:ath00061?,,MATCH (p1:Pathway {id: 'path:ath00061'1})-[:CONTAINS]->(r:Reaction)<-[:CONTAINS]-(p2:Pathway {id: 'path:ath00061'2}) RETURN r
Phase 2,Intersection & Union Queries,Find common reactions in glycolysis and TCA cycle,,MATCH (p1:Pathway {id: 'path:ath00010'1})-[:CONTAINS]->(r:Reaction)<-[:CONTAINS]-(p2:Pathway {id: 'path:ath00010'2}) RETURN r
Phase 2,Intersection & Union Queries,Show overlapping reactions between pathways path:ats00603 and path:ats00603,,MATCH (p1:Pathway {id: 'path:ats00603'1})-[:CONTAINS]->(r:Reaction)<-[:CONTAINS]-(p2:Pathway {id: 'path:ats00603'2}) RETURN r
Phase 2,Intersection & Union Queries,Get shared reactions between fatty acid biosynthesis and degradation,,MATCH (p1:Pathway {id: 'path:ath00061'1})-[:CONTAINS]->(r:Reaction)<-[:CONTAINS]-(p2:Pathway {id: 'path:ath00061'2}) RETURN r
Phase 2,Intersection & Union Queries,Which reactions appear in both pathway path:ats00280 and path:ats00280?,,MATCH (p1:Pathway {id: 'path:ats00280'1})-[:CONTAINS]->(r:Reaction)<-[:CONTAINS]-(p2:Pathway {id: 'path:ats00280'2}) RETURN r
Phase 2,Intersection & Union Queries,List common reactions between pentose phosphate and glycolysis,,MATCH (p1:Pathway {id: 'path:ath00010'1})-[:CONTAINS]->(r:Reaction)<-[:CONTAINS]-(p2:Pathway {id: 'path:ath00010'2}) RETURN r
Phase 2,Intersection & Union Queries,Which genes encode the same enzyme EC:1.3.1.10?,,"MATCH (g1:Gene)-[:ENCODES]->(e:EC {id: 'EC:1.3.1.10'})<-[:ENCODES]-(g2:Gene) WHERE g1 <> g2 RETURN g1, g2"
Phase 2,Intersection & Union Queries,Find genes with redundant encoding for ats:109733199,,"MATCH (g1:Gene)-[:ENCODES]->(e:EC {id: 'ats:109733199'})<-[:ENCODES]-(g2:Gene) WHERE g1 <> g2 RETURN g1, g2"
Phase 2,Intersection & Union Queries,Show genes that both produce enzyme ats:109761713,,"MATCH (g1:Gene)-[:ENCODES]->(e:EC {id: 'ats:109761713'})<-[:ENCODES]-(g2:Gene) WHERE g1 <> g2 RETURN g1, g2"
