phase,category,question,generated_cypher,answer,if_correct
Phase 1,Reverse Pathway Queries,Which pathways have reaction R00200?,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R00200'})
RETURN p.id AS pathwayId, p.title AS pathwayTitle;",I don't know the answer.,1
Phase 1,Reverse Pathway Queries,List pathways containing reaction R07449,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id:'R07449'})
RETURN p;",['path:ats00905'],1
Phase 1,Aggregation Queries,How many enzymes does gene ats:109733199 encode?,"MATCH (g:Gene {id: 'ats:109733199'})-[:ENCODES]->(e:EC)
RETURN count(e) AS enzymeCount;",0 enzymes.,1
Phase 1,Aggregation Queries,Count reactions catalyzed by EC:1.1.1.1,"MATCH (e:EC {id:'1.1.1.1'})-[:CATALYZES]->(r:Reaction)
RETURN count(r) AS reactionCount;",0,1
Phase 1,Aggregation Queries,How many reactions use compound C00022 as substrate?,"MATCH (c:Compound {id:'C00022'})<-[:SUBSTRATE_OF]-(r:Reaction)
RETURN count(DISTINCT r) AS reactionCount;",0 reactions use compound C00022 as substrate.,1
Phase 1,Aggregation Queries,Count genes in ortholog K00010,"MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id:'K00010'})
RETURN count(g) AS geneCount;",0,1
Phase 1,Aggregation Queries,How many reactions are in pathway ko00010?,"MATCH (p:Pathway {id:'ko00010'})-[:CONTAINS]->(r:Reaction)
RETURN count(r) AS reactionCount;",There are 0 reactions in pathway ko00010.,1
Phase 1,Aggregation Queries,Count functional units in pathway ko00020,"MATCH (p:Pathway {id:'ko00020'})-[:CONTAINS]->(fu:FunctionalUnit)
RETURN count(fu) AS functionalUnitCount;",0 functional units.,1
Phase 1,Aggregation Queries,How many genes encode enzyme EC:1.1.1.1?,"MATCH (g:Gene)-[:ENCODES]->(e:EC {id:'1.1.1.1'})
RETURN count(DISTINCT g) AS geneCount;",0 genes encode enzyme EC:1.1.1.1.,1
Phase 1,Aggregation Queries,Count genes in ortholog K00010,"MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id:'K00010'})
RETURN count(g) AS geneCount;",0,1
Phase 1,Aggregation Queries,How many reactions produce compound C00022?,"MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00022'})
RETURN count(DISTINCT r) AS reactionCount;",Helpful Answer: 0 reactions produce compound C00022.,1
Phase 1,Aggregation Queries,Count enzymes that catalyze reaction R00001?,"MATCH (e:EC)-[:CATALYZES]->(r:Reaction {id: 'R00001'})
RETURN count(DISTINCT e) AS enzymeCount;",0,1
Phase 1,Aggregation Queries,How many compounds are substrates of reaction R00010?,"MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R00010'})
RETURN count(c) AS substrateCount;",0 compounds are substrates of reaction R00010.,1
Phase 1,Aggregation Queries,Count reactions in pathway ko00010,"MATCH (p:Pathway {id:'ko00010'})-[:CONTAINS]->(r:Reaction)
RETURN count(r) AS reactionCount;",0,1
Phase 1,Aggregation Queries,What types of nodes is gene ats:109761713 connected to?,"MATCH (g:Gene {id:""ats:109761713""})-[:MEMBER_OF|:ENCODES|:BELONGS_TO]->(n)
RETURN DISTINCT labels(n) AS nodeTypes;",FunctionalUnit,1
Phase 1,Aggregation Queries,Show node types connected to pathway path:ats01040,"MATCH (p:Pathway {id:'path:ats01040'})-[:CONTAINS]->(n)
RETURN DISTINCT labels(n) AS nodeTypes;","FunctionalUnit, Reaction",1
Phase 1,Aggregation Queries,What entities does compound C06000 interact with?,"MATCH (c:Compound {id:""C06000""})-[:PRODUCES|SUBSTRATE_OF]->(r:Reaction)
RETURN r;",['R05064'],1
Phase 1,Aggregation Queries,List node types connected to enzyme EC:1.3.1.21,"MATCH (ec:EC {id:'1.3.1.21'})-[r]-(n)
UNWIND labels(n) AS l
RETURN collect(DISTINCT l) AS connectedNodeTypes;",I don't know the answer.,1
Phase 1,Aggregation Queries,What types of nodes connect to reaction R07764?,"MATCH (r:Reaction {id:'R07764'})-[*]-(n)
RETURN DISTINCT labels(n) AS nodeTypes;","Pathway, EC, Ortholog, Compound, FunctionalUnit, Gene.",1
Phase 1,Aggregation Queries,Show entity types linked to ortholog K11262,"MATCH (o:Ortholog {id: 'K11262'})-[:CATALYZES|:HAS_ENZYME_FUNCTION|:MEMBER_OF]->(n)
RETURN DISTINCT labels(n) AS entityType;","Reaction, EC",1
Phase 1,Aggregation Queries,What is connected to gene ath:AT1G54220?,"MATCH (g:Gene {id: 'ath:AT1G54220'})-[r]->(n)
RETURN type(r) AS relationship, n;","I’m sorry, but I don’t know the answer.",1
Phase 1,Aggregation Queries,Show all neighbors of compound C00164,"MATCH (c:Compound {id:""C00164""})-[:PRODUCES|SUBSTRATE_OF]->(r:Reaction)
RETURN r
UNION
MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id:""C00164""})
RETURN r",['R01360'],1
Phase 1,Aggregation Queries,Find all entities connected to enzyme EC:1.13.11.33,"MATCH (e:EC {id:'1.13.11.33'})
OPTIONAL MATCH (g:Gene)-[:ENCODES]->(e)
OPTIONAL MATCH (o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(e)
OPTIONAL MATCH (g2:Gene)-[:BELONGS_TO]->(o)
OPTIONAL MATCH (fu:FunctionalUnit)-[:MEMBER_OF]->(e)
OPTIONAL MATCH (g3:Gene)-[:MEMBER_OF]->(fu)
OPTIONAL MATCH (r:Reaction)-[:CATALYZES]->(e)
OPTIONAL MATCH (p:Pathway)-[:CONTAINS]->(e)
OPTIONAL MATCH (p2:Pathway)-[:CONTAINS]->(fu)
OPTIONAL MATCH (c:Compound)-[:PRODUCES]->(r)
OPTIONAL MATCH (c2:Compound)-[:SUBSTRATE_OF]->(r)
RETURN DISTINCT e, g, o, g2, fu, g3, r, p, p2, c, c2",I don't know the answer.,1
Phase 1,Aggregation Queries,Get neighbors of reaction R01280,"MATCH (r:Reaction {id:'R01280'})-[rel]->(n)
RETURN DISTINCT n, type(rel) AS relType
UNION
MATCH (n)-[rel]->(r:Reaction {id:'R01280'})
RETURN DISTINCT n, type(rel) AS relType","['C00013', 'C00154', 'C00020', 'path:ats01212', 'path:ats00071', 'path:ats00061', 'path:csat01212', 'path:csat00071', 'path:csat00061', 'path:ath01212']",1
Phase 1,Aggregation Queries,What connects to pathway path:gmx00280?,"MATCH (p:Pathway {id:""path:gmx00280""})-[r]->(n)
RETURN type(r) AS relationship, n;","(R)-3-amino-2-methylpropanoate:pyruvate aminotransferase, methylmalonate:CoA ligase (AMP-forming), (S)-2-methylbutanoyl-CoA:acceptor 2,3-oxidoreductase, L-leucine:2-oxoglutarate aminotransferase, 3-methylbutanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(3-methylbutanoyl)transferase, 4-Methyl-2-oxopentanoate + Thiamin diphosphate reaction, 2-methylpropanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(2-methylpropanoyl)transferase, 2-methylpropanoyl-CoA:(acceptor) 2,3-oxidoreductase, (S)-3-hydroxyisobutyryl-CoA hydro-lyase, (S)-3-hydroxyisobutyryl-CoA hydrolase.",1
Phase 1,Aggregation Queries,Show all nodes linked to ortholog K00249,"MATCH (o:Ortholog {id: 'K00249'})-[r]-(n)
RETURN DISTINCT n, type(r) AS relationshipType;","['R03172', 'R02661', 'R04095', 'R01279', 'R03990', 'R03857', 'R04754', 'R03777', 'R04751', 'EC:1.3.8.7']",1
Phase 1,Aggregation Queries,Which pathways have the most reactions?,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction)
WITH p, count(r) AS reactionCount
ORDER BY reactionCount DESC
LIMIT 1
RETURN p.id AS pathwayId, p.title AS pathwayTitle, reactionCount;",Fatty acid metabolism has the most reactions.,1
Phase 1,Aggregation Queries,Rank pathways by number of reactions,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction)
WITH p, count(r) AS reactionCount
RETURN p.id AS pathwayId, p.title AS title, reactionCount
ORDER BY reactionCount DESC","Fatty acid metabolism pathways (ats01212, gmx01212, ath01212, csat01212) – 86 reactions  
Fatty acid biosynthesis pathways (ats00061, gmx00061, ath00061, csat00061) – 61 reactions  
Glycerophospholipid metabolism pathway ats00564 – 48 reactions  
Glycerophospholipid metabolism pathway gmx00564 – 46 reactions",1
Phase 1,Aggregation Queries,Show pathway sizes based on reaction count,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction)
RETURN p.id AS pathwayId, p.title AS pathwayTitle, count(r) AS reactionCount
ORDER BY reactionCount DESC;","Fatty acid metabolism 86 reactions (path:ats01212, path:gmx01212, path:ath01212, path:csat01212)  
Fatty acid biosynthesis 61 reactions (path:ats00061, path:gmx00061, path:ath00061, path:csat00061)  
Glycerophospholipid metabolism 48 reactions (path:ats00564)  
Glycerophospholipid metabolism 46 reactions (path:gmx00564)",1
Phase 1,Aggregation Queries,Find largest pathways by reaction R06871 number,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction)
WHERE r.id = 'R06871'
WITH p
MATCH (p)-[:CONTAINS]->(rAll:Reaction)
WITH p, count(DISTINCT rAll) AS reactionCount
RETURN p.id AS pathwayId, p.title AS pathwayTitle, reactionCount
ORDER BY reactionCount DESC
LIMIT 1",Glycerophospholipid metabolism – 48 reactions.,1
Phase 1,Aggregation Queries,Order pathways by reaction count,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction)
WITH p, count(r) AS reactionCount
RETURN p, reactionCount
ORDER BY reactionCount DESC;","['path:ats01212', 'path:gmx01212', 'path:ath01212', 'path:csat01212', 'path:ats00061', 'path:gmx00061', 'path:ath00061', 'path:csat00061', 'path:ats00564', 'path:gmx00564']",1
Phase 1,Aggregation Queries,List pathways from most to least reactions,"MATCH (p:Pathway)
OPTIONAL MATCH (p)-[:CONTAINS]->(r:Reaction)
WITH p, count(r) AS reactionCount
RETURN p.id AS pathwayId, p.title AS title, p.link AS link, reactionCount
ORDER BY reactionCount DESC","Fatty acid metabolism (86 reactions), Fatty acid metabolism (86 reactions), Fatty acid metabolism (86 reactions), Fatty acid metabolism (86 reactions), Fatty acid biosynthesis (61 reactions), Fatty acid biosynthesis (61 reactions), Fatty acid biosynthesis (61 reactions), Fatty acid biosynthesis (61 reactions), Glycerophospholipid metabolism (48 reactions), Glycerophospholipid metabolism (46 reactions).",1
Phase 1,Aggregation Queries,Which genes encode multiple enzymes?,"MATCH (g:Gene)-[:ENCODES]->(e:EC)
WITH g, count(e) AS enzymeCount
WHERE enzymeCount > 1
RETURN g.id, g.name, g.symbol, enzymeCount;",All of the genes listed encode multiple enzymes.,1
Phase 1,Aggregation Queries,Find orthologs that catalyze more than 5 reactions,"MATCH (o:Ortholog)-[:CATALYZES]->(r:Reaction)
WITH o, count(r) AS reactionCount
WHERE reactionCount > 5
RETURN o, reactionCount;","['K10781', 'K00208', 'K02371', 'K11533', 'K00209', 'K02372', 'K00647', 'K09458', 'K00059', 'K00665']",1
Phase 1,Aggregation Queries,Show compounds used in multiple reactions,"MATCH (c:Compound)<-[:PRODUCES|SUBSTRATE_OF]-(r:Reaction)
WITH c, count(DISTINCT r) AS reactionCount
WHERE reactionCount > 1
RETURN c, reactionCount;","['C00009', 'C00189', 'C00114', 'C15792', 'C15800', 'C00229', 'C00001', 'C00139', 'C01203', 'C00003']",1
Phase 1,Aggregation Queries,Which enzymes catalyze more than 3 reactions?,"MATCH (e:EC)-[:CATALYZES]->(r:Reaction)
WITH e, count(r) AS reactionCount
WHERE reactionCount > 3
RETURN e, reactionCount;","['EC:3.1.2.14', 'EC:3.1.2.21', 'EC:1.3.1.9', 'EC:1.3.1.-', 'EC:2.3.1.-', 'EC:4.2.1.-', 'EC:2.3.1.41', 'EC:2.3.1.179', 'EC:1.1.1.100', 'EC:2.3.1.85']",1
Phase 1,Aggregation Queries,Find pathways with more than 10 reactions,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction)
WITH p, count(r) AS reactionCount
WHERE reactionCount > 10
RETURN p, reactionCount;","['path:ats00061', 'path:ats00062', 'path:ats00071', 'path:ats00100', 'path:ats00280', 'path:ats00310', 'path:ats00561', 'path:ats00564', 'path:ats00592', 'path:ats00600']",1
Phase 1,Aggregation Queries,List reactions with multiple substrates,"MATCH (r:Reaction)<-[:SUBSTRATE_OF]-(c:Compound)
WITH r, collect(c) AS substrates
WHERE size(substrates) > 1
RETURN r.id AS reactionId, r.name AS reactionName, r.equation AS equation, [s IN substrates | s.id] AS substrateIds, [s IN substrates | s.name] AS substrateNames;","R06870 phosphoethanolamine phosphohydrolase, R06871 phosphocholine phosphohydrolase, R04014 dodecanoyl‑[acyl‑carrier‑protein] hydrolase, R08162 hexadecenoyl‑[acyl‑carrier‑protein] hydrolase, R08158 decanoyl‑[acyl‑carrier‑protein] hydrolase, R08157 octanoyl‑[acyl‑carrier‑protein] hydrolase, R03370 stearoyl‑[acyl‑carrier‑protein],reduced‑ferredoxin:oxygen oxidoreductase (9,10 cis‑dehydrogenating), R07765 octadecanoyl‑[acp]:NAD⁺ trans‑2‑oxidoreductase, R07762, R08161 hexadecanoyl‑[acyl‑carrier‑protein],reduced‑ferredoxin:oxygen oxidoreductase (9,10 cis‑dehydrogenating).",1
Phase 1,Filtering & Pattern Matching,Find genes starting with AT1G,"MATCH (g:Gene)
WHERE g.name STARTS WITH 'AT1G'
RETURN g;",I don't know the answer.,1
Phase 1,Filtering & Pattern Matching,Show enzymes starting with EC:1.1,"MATCH (e:EC)
WHERE e.id STARTS WITH 'EC:1.1'
RETURN e.id, e.name;","EC:1.1.1.100 – 3‑oxoacyl‑[acyl‑carrier‑protein] reductase  
EC:1.1.1.- – (no name provided)  
EC:1.1.1.330 – very‑long‑chain 3‑oxoacyl‑CoA reductase  
EC:1.1.1.35 – 3‑hydroxyacyl‑CoA dehydrogenase  
EC:1.1.1.211 – long‑chain‑3‑hydroxyacyl‑CoA dehydrogenase  
EC:1.1.1.1 – alcohol dehydrogenase  
EC:1.1.1.71 – alcohol dehydrogenase [NAD(P)+]",1
Phase 1,Filtering & Pattern Matching,Get compounds starting with C000,"MATCH (c:Compound)
WHERE c.id STARTS WITH 'C000'
RETURN c;","['C00001', 'C00007', 'C00080', 'C00004', 'C00003', 'C00011', 'C00005', 'C00006', 'C00083', 'C00010']",1
Phase 1,Filtering & Pattern Matching,List pathways starting with path:ats00280,"MATCH (p:Pathway)
WHERE p.id STARTS WITH 'path:ats00280'
RETURN p.id, p.title, p.species, p.source, p.link, p.image;","path:ats00280, Valine, leucine and isoleucine degradation",1
Phase 1,Filtering & Pattern Matching,Find reactions starting with R000,"MATCH (r:Reaction)
WHERE r.id STARTS WITH 'R000'
RETURN r;",I don't know the answer.,1
Phase 1,Filtering & Pattern Matching,Show orthologs starting with K00,"MATCH (o:Ortholog)
WHERE o.id STARTS WITH 'K00'
RETURN o
ORDER BY o.id;","['K00001', 'K00002', 'K00006', 'K00011', 'K00020', 'K00022', 'K00057', 'K00059', 'K00079', 'K00081']",1
Phase 1,Filtering & Pattern Matching,Which genes encode enzymes?,"MATCH (g:Gene)-[:ENCODES]->(e:EC)
RETURN g.name AS geneName, g.symbol AS geneSymbol, e.name AS enzymeName, e.id AS enzymeId;","(RefSeq) inorganic pyrophosphatase 1, (RefSeq) palmitoyl‑acyl carrier protein thioesterase, chloroplastic isoform X1, (RefSeq) palmitoyl‑acyl carrier protein thioesterase, chloroplastic isoform X2, (RefSeq) oleoyl‑acyl carrier protein thioesterase 1, chloroplastic, (RefSeq) acyl‑[acyl‑carrier‑protein] hydrolase FATB2, chloroplastic, (RefSeq) palmitoyl‑acyl carrier protein thioesterase, chloroplastic, (RefSeq) palmitoyl‑acyl carrier protein thioesterase, chloroplastic isoform X1, (RefSeq) myristoyl‑acyl carrier protein thioesterase, chloroplastic‑like, (RefSeq) palmitoyl‑acyl carrier protein thioesterase, chloroplastic, (RefSeq) oleoyl‑acyl carrier protein thioesterase 1, chloroplastic‑like.",1
Phase 1,Filtering & Pattern Matching,Find compounds that are substrates,"MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction)
RETURN c;","['C00001', 'C00346', 'C00001', 'C00588', 'C15791', 'C15799', 'C00001', 'C05223', 'C00001', 'C16520']",1
Phase 1,Filtering & Pattern Matching,Show enzymes that catalyze reactions,"MATCH (e:EC)-[:CATALYZES]->(r:Reaction)
RETURN e, r;","['EC:3.1.3.75', 'EC:3.1.3.75', 'EC:3.1.2.14', 'EC:3.1.2.14', 'EC:3.1.2.14', 'EC:3.1.2.14', 'EC:3.1.2.14', 'EC:3.1.2.14', 'EC:3.1.2.14', 'EC:3.1.2.14']",1
Phase 1,Filtering & Pattern Matching,Get reactions with substrates,"MATCH (r:Reaction)<-[:SUBSTRATE_OF]-(c:Compound)
RETURN r, c;","['R06870', 'R06870', 'R06871', 'R06871', 'R07444', 'R07449', 'R04014', 'R04014', 'R08162', 'R08162']",1
Phase 1,Filtering & Pattern Matching,Which pathways contain reactions?,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction)
RETURN p.id AS pathwayId, p.title AS pathwayTitle, r.id AS reactionId, r.name AS reactionName;",Fatty acid biosynthesis contains reactions.,1
Phase 1,Filtering & Pattern Matching,Find orthologs with enzyme EC:1.3.1.9 functions,"MATCH (o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(e:EC {id: ""1.3.1.9""})
RETURN o;",I don't know the answer.,1
Phase 1,Filtering & Pattern Matching,Which genes don't encode any enzymes?,"MATCH (g:Gene)
WHERE NOT (g)-[:ENCODES]->()
RETURN g;","['ats:109732741', 'ats:109779197', 'ats:109767527', 'ats:109775477', 'ats:109735074', 'ats:109741796', 'ats:109746620', 'ats:109748080', 'ats:109763601', 'ats:120965235']",1
Phase 1,Filtering & Pattern Matching,Find compounds that aren't substrates,"MATCH (c:Compound)
WHERE NOT EXISTS((c)-[:SUBSTRATE_OF]->())
RETURN c;","['C02679', 'C08362', 'C01571', 'C06423', 'C00139', 'C00011', 'C01530', 'C00712', 'C06424', 'C05762']",1
Phase 1,Filtering & Pattern Matching,Show enzymes that don't catalyze reactions,"MATCH (e:EC)
WHERE NOT (e)-[:CATALYZES]->(:Reaction)
RETURN e;","['EC:4.2.1.*', 'EC:2.8.1.8', 'EC:1.14.99.*', 'EC:2.7.8.*', 'EC:1.14.*', 'EC:1.14.19.4', 'EC:6.2.1.?', 'EC:1.1.99.5', 'EC:2.7.1.*', 'EC:3.1.3.']",1
Phase 1,Filtering & Pattern Matching,Get reactions without products,"MATCH (r:Reaction)
WHERE NOT EXISTS((r)-[:PRODUCES]->(:Compound))
RETURN r;",I don't know the answer.,1
Phase 1,Filtering & Pattern Matching,Find orthologs without enzyme functions,"MATCH (o:Ortholog)
WHERE NOT EXISTS((o)-[:HAS_ENZYME_FUNCTION]->(:EC))
RETURN o;","['K09589', 'K21791', 'K11533', 'K11539', 'K02160', 'K15037', 'K18605', 'K22540', 'K22541', 'K13370']",1
Phase 1,Filtering & Pattern Matching,Show both genes and orthologs,"MATCH (g:Gene), (o:Ortholog)
RETURN g, o;","['ats:109732741', 'ats:109779197', 'ats:109767527', 'ats:109775477', 'ats:109735074', 'ats:109741796', 'ats:109746620', 'ats:109748080', 'ats:109763601', 'ats:120965235']",1
Phase 1,Filtering & Pattern Matching,Find either enzymes or reactions,"MATCH (e:EC) RETURN e AS node
UNION
MATCH (r:Reaction) RETURN r AS node","['EC:3.1.3.75', 'EC:3.1.2.14', 'EC:3.1.2.21', 'EC:1.14.19.2', 'EC:1.3.1.9', 'EC:1.3.1.-', 'EC:2.3.1.-', 'EC:4.2.1.-', 'EC:2.3.1.41', 'EC:2.3.1.179']",1
Phase 1,Filtering & Pattern Matching,Find either enzymes or reactions,,Exception: CypherSyntaxError,1
Phase 1,Filtering & Pattern Matching,Get compounds or pathways,"MATCH (c:Compound) 
RETURN c AS node, 'Compound' AS type
UNION ALL
MATCH (p:Pathway) 
RETURN p AS node, 'Pathway' AS type","['C05223', 'C00001', 'C00229', 'C02679', 'C16520', 'C08362', 'C05755', 'C01571', 'C05752', 'C06423']",1
Phase 1,Filtering & Pattern Matching,List genes and enzymes,"MATCH (g:Gene)-[:ENCODES]->(e:EC)
RETURN g.name AS gene_name, g.symbol AS gene_symbol, g.id AS gene_id,
       e.name AS enzyme_name, e.sysname AS enzyme_sysname, e.id AS enzyme_id;","Inorganic pyrophosphatase 1 – phosphoethanolamine/phosphocholine phosphatase,  
Palmitoyl‑acyl carrier protein thioesterase, chloroplastic isoform X1 – oleoyl‑[acyl‑carrier‑protein] hydrolase,  
Palmitoyl‑acyl carrier protein thioesterase, chloroplastic isoform X2 – oleoyl‑[acyl‑carrier‑protein] hydrolase,  
Oleoyl‑acyl carrier protein thioesterase 1, chloroplastic – oleoyl‑[acyl‑carrier‑protein] hydrolase,  
Acyl‑[acyl‑carrier‑protein] hydrolase FATB2, chloroplastic – oleoyl‑[acyl‑carrier‑protein] hydrolase,  
Palmitoyl‑acyl carrier protein thioesterase, chloroplastic – oleoyl‑[acyl‑carrier‑protein] hydrolase,  
Palmitoyl‑acyl carrier protein thioesterase, chloroplastic isoform X1 – oleoyl‑[acyl‑carrier‑protein] hydrolase,  
Myristoyl‑acyl carrier protein thioesterase, chloroplastic‑like (FATB1B) – oleoyl‑[acyl‑carrier‑protein] hydrolase,  
Palmitoyl‑acyl carrier protein thioesterase, chloroplastic – oleoyl‑[acyl‑carrier‑protein] hydrolase,  
Oleoyl‑acyl carrier protein thioesterase 1, chloroplastic‑like – oleoyl‑[acyl‑carrier‑protein] hydrolase.",1
Phase 1,Filtering & Pattern Matching,Show reactions and compounds,"MATCH (r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN r, c;","['R06870', 'R06870', 'R06871', 'R06871', 'R07444', 'R07449', 'R04014', 'R04014', 'R08162', 'R08162']",1
Phase 1,Filtering & Pattern Matching,Find orthologs or functional units,,Exception: CypherSyntaxError,1
Phase 1,Filtering & Pattern Matching,Which genes are most connected?,"MATCH (g:Gene)-[r]-()
RETURN g.name AS geneName, g.id AS geneId, count(r) AS connections
ORDER BY connections DESC
LIMIT 10","(RefSeq) triacylglycerol lipase SDP1 isoform X1, (RefSeq) triacylglycerol lipase SDP1, (RefSeq) triacylglycerol lipase SDP1, (RefSeq) triacylglycerol lipase SDP1 isoform X1",1
Phase 1,Filtering & Pattern Matching,Find most connected compounds,,Exception: CypherSyntaxError,1
Phase 1,Filtering & Pattern Matching,Show enzymes with most connections,"MATCH (e:EC)
OPTIONAL MATCH (e)-[r]->()
OPTIONAL MATCH ()-[r2]->(e)
RETURN e.id AS enzymeId, e.name AS enzymeName, (count(r)+count(r2)) AS connections
ORDER BY connections DESC
LIMIT 10","enoyl‑CoA hydratase (416 connections), palmitoyl‑CoA hydrolase (312), acyl‑CoA oxidase (286), beta‑ketoacyl‑[acyl‑carrier‑protein] synthase II (280), 3‑hydroxyacyl‑CoA dehydrogenase (260), phospholipase A2 (240), acetyl‑CoA C‑acyltransferase (224), phospholipase D (208), oleoyl‑[acyl‑carrier‑protein] hydrolase (192), linoleate 13S‑lipoxygenase (180).",1
Phase 1,Filtering & Pattern Matching,Get most connected reactions,,Exception: CypherSyntaxError,1
Phase 1,Filtering & Pattern Matching,Which pathways have most connections?,"MATCH (p:Pathway)-[:CONTAINS]->()
WITH p, count(*) AS connections
ORDER BY connections DESC
LIMIT 1
RETURN p, connections;",['path:ats01212'],1
Phase 1,Filtering & Pattern Matching,Find hub orthologs in the network,"MATCH (o:Ortholog)
OPTIONAL MATCH (o)-[:CATALYZES]->(r:Reaction)
OPTIONAL MATCH (o)-[:HAS_ENZYME_FUNCTION]->(e:EC)
OPTIONAL MATCH (o)-[:MEMBER_OF]->(f:FunctionalUnit)
OPTIONAL MATCH (g:Gene)-[:BELONGS_TO]->(o)
WITH o, count(DISTINCT r) AS reactions, count(DISTINCT e) AS ecs, count(DISTINCT f) AS units, count(DISTINCT g) AS genes
WITH o, reactions + ecs + units + genes AS hubScore
WHERE hubScore > 5
RETURN o, hubScore
ORDER BY hubScore DESC;","['K10246', 'K10245', 'K10244', 'K10247', 'K10250', 'K11533', 'K10248', 'K00665', 'K15397', 'K13508']",1
Phase 1,Filtering & Pattern Matching,Show me 10 random genes,"MATCH (g:Gene)
RETURN g
ORDER BY rand()
LIMIT 10","['gmx:100500357', 'gmx:100801635', 'gmx:100800210', 'gmx:100807521', 'gmx:100795122', 'csat:104699850', 'gmx:100815396', 'gmx:100776304', 'csat:104727424', 'gmx:100797626']",1
Phase 1,Filtering & Pattern Matching,Get 5 sample pathways,"MATCH (p:Pathway)
RETURN p
LIMIT 5","['path:ats00061', 'path:ats00062', 'path:ats00071', 'path:ats00100', 'path:ats00280']",1
Phase 1,Filtering & Pattern Matching,Display 20 compounds,"MATCH (c:Compound)
RETURN c.id AS id, c.name AS name, c.formula AS formula, c.exact_mass AS exact_mass, c.names AS names, c.link AS link
LIMIT 20","Dodecanoyl‑[acyl‑carrier protein], H2O, Acyl‑carrier protein, Dodecanoic acid, Hexadecenoyl‑[acyl‑carrier protein], (9Z)‑Hexadecenoic acid, Decanoyl‑[acp], Decanoic acid, Octanoyl‑[acp], Octanoic acid",1
Phase 1,Filtering & Pattern Matching,Give me 15 reactions,"MATCH (r:Reaction)
RETURN r
LIMIT 15","['R06870', 'R06871', 'R07444', 'R07449', 'R04014', 'R08162', 'R08158', 'R08157', 'R03370', 'R07765']",1
Phase 1,Filtering & Pattern Matching,Show 10 example enzymes,"MATCH (e:EC)
RETURN e.id, e.name, e.sysname, e.link, e.names
LIMIT 10","phosphoethanolamine/phosphocholine phosphatase, PHOSPHO1, 3X11A, oleoyl‑[acyl‑carrier‑protein] hydrolase, acyl‑ACP‑hydrolase, dodecanoyl‑[acyl‑carrier‑protein] hydrolase, lauryl‑acyl‑carrier‑protein hydrolase, stearoyl‑[acyl‑carrier‑protein] 9‑desaturase, stearyl acyl carrier protein desaturase, enoyl‑[acyl‑carrier‑protein] reductase (NADH).",1
Phase 1,Filtering & Pattern Matching,List 5 orthologs,"MATCH (o:Ortholog)
RETURN o.id, o.name, o.symbol, o.link
LIMIT 5","phosphoethanolamine/phosphocholine phosphatase [EC:3.1.3.75], steroid 3-oxidase [EC:1.14.-.-], medium-chain acyl‑[acyl‑carrier‑protein] hydrolase [EC:3.1.2.21], fatty acyl‑ACP thioesterase B [EC:3.1.2.14 3.1.2.21], thioesterase.",1
Phase 2,2-Hop Queries,What reactions is gene ath:AT1G01040 involved in through its ortholog?,"MATCH (g:Gene {id:'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)
RETURN DISTINCT r;",I don't know the answer.,1
Phase 2,2-Hop Queries,Show reactions catalyzed by the ortholog of gene ath:AT1G01050,"MATCH (g:Gene {id:'ath:AT1G01050'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)
RETURN r.id, r.name, r.equation;",I don't know the answer.,1
Phase 2,2-Hop Queries,Find reactions for gene ats:109733199 via ortholog,"MATCH (g:Gene {id: ""ats:109733199""})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)
RETURN r;",I don't know the answer.,1
Phase 2,2-Hop Queries,Get reactions that gene ats:109761713 participates in through ortholog,"MATCH (g:Gene {id: 'ats:109761713'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)
RETURN r;",I don't know the answer.,1
Phase 2,2-Hop Queries,Which reactions does gene ath:AT1G54220 indirectly catalyze?,,Exception: CypherSyntaxError,1
Phase 2,2-Hop Queries,List reactions connected to gene ath:AT2G06990 through ortholog groups,,Exception: CypherSyntaxError,1
