phase,category,question,check,cypher_executable,generated_cypher,QAChain,QAChain_Answer
Phase 1,Aggregation Queries,Show entity types linked to ortholog K11262,,MATCH (n {id: 'K11262'})-[]->(m) RETURN DISTINCT labels(m),"MATCH (e {id: $entity_id})-[r]-(neighbor)
RETURN neighbor.id AS neighbor_id,
       neighbor.name AS neighbor_name,
       labels(neighbor)[0] AS neighbor_type,
       type(r) AS relationship,
       CASE
         WHEN startNode(r) = e THEN 'outgoing'
         ELSE 'incoming'
       END AS direction","
MATCH (o:Ortholog {id: 'K11262'})-[:MEMBER_OF*1..3]-(fu:FunctionalUnit)
OPTIONAL MATCH (o)-[:ENCODES]->(ec:EC)
OPTIONAL MATCH (o)-[:CATALYZES]->(r:Reaction)
OPTIONAL MATCH (o)-[:HAS_ENZYME_FUNCTION]->(ec2:EC)
WITH o, fu, ec, r, ec2
MATCH (fu)<-[:CONTAINS]-(p:Pathway)
MATCH (ec)<-[:CONTAINS]-(p2:Pathway)
MATCH (r)<-[:PRODUCES]-(c:Compound)
MATCH (o)-[:BELONGS_TO]->(g:Gene)
RETURN DISTINCT fu, ec, r, ec2, p, p2, c, g
LIMIT 10;
",I don't know the answer.
Phase 1,Aggregation Queries,What is connected to gene ath:AT1G54220?,,MATCH (n {id: 'AT1G54220'})-[]-(m) RETURN m,MATCH (g:Gene {id: 'ath:AT1G54220'})-[r]-(n) RETURN n LIMIT 20,"cypher
MATCH (g:Gene {name: ""ath:AT1G54220""})-[:MEMBER_OF*1..3]->(fu:FunctionalUnit)
OPTIONAL MATCH (g)-[:ENCODES]->(ec:EC)
OPTIONAL MATCH (g)-[:BELONGS_TO]->(o:Ortholog)
WITH g, fu, ec, o
MATCH (g)<-[:CONTAINS]-(p:Pathway)
OPTIONAL MATCH (fu)<-[:CONTAINS]-(pfu:FunctionalUnit)
OPTIONAL MATCH (ec)<-[:CONTAINS]-(pec:EC)
OPTIONAL MATCH (o)<-[:CATALYZES]-(r:Reaction)
OPTIONAL MATCH (o)<-[:HAS_ENZYME_FUNCTION]-(er:EC)
OPTIONAL MATCH (fu)<-[:MEMBER_OF]-(ofu:FunctionalUnit)
WITH g, fu, ec, o, p, pfu, pec, r, er
MATCH (g)-[:SUBSTRATE_OF*1..3]->(c:Compound)
RETURN DISTINCT g, fu, ec, o, p, pfu, pec, r, er, c
LIMIT 10;
",I don't know the answer.
Phase 1,Aggregation Queries,Show all neighbors of compound C00164,,MATCH (n {id: 'C00164'})-[]-(m) RETURN m,MATCH (c:Compound {id: 'C00164'})-[r]-(n) RETURN n LIMIT 20,"
MATCH (c:Compound {id: 'C00164'})-[*1..3]-(n) RETURN n LIMIT 10;
",I don't know the answer.
Phase 1,Aggregation Queries,Find all entities connected to enzyme EC:1.13.11.33,,MATCH (n {id: 'EC:1.13.11.33'})-[]-(m) RETURN m,"MATCH (e {id: $entity_id})-[r]-(neighbor)
RETURN neighbor.id AS neighbor_id,
       neighbor.name AS neighbor_name,
       labels(neighbor)[0] AS neighbor_type,
       type(r) AS relationship,
       CASE
         WHEN startNode(r) = e THEN 'outgoing'
         ELSE 'incoming'
       END AS direction","
MATCH (ec:EC {id: '1.13.11.33'})-[:CATALYZES*1..3]->(reaction:Reaction)
OPTIONAL MATCH (reaction)<-[:PRODUCES]-(compound:Compound)
OPTIONAL MATCH (reaction)-[:SUBSTRATE_OF]->(substrate:Compound)
OPTIONAL MATCH (pathway:Pathway {id: ec.link})<-[:CONTAINS*1..3]-(reaction)
OPTIONAL MATCH (functionalUnit:FunctionalUnit)<-[:MEMBER_OF*1..3]-(ortholog:Ortholog)-[:HAS_ENZYME_FUNCTION]->(ec)
RETURN DISTINCT ec, reaction, compound, substrate, pathway, functionalUnit, ortholog
LIMIT 10;
",arachidonate 15-lipoxygenase is connected to the reaction linoleate:oxygen 13-oxidoreductase.
Phase 1,Aggregation Queries,Get neighbors of reaction R01280,,MATCH (n {id: 'R01280'})-[]-(m) RETURN m,"MATCH (e {id: $entity_id})-[r]-(neighbor)
RETURN neighbor.id AS neighbor_id,
       neighbor.name AS neighbor_name,
       labels(neighbor)[0] AS neighbor_type,
       type(r) AS relationship,
       CASE
         WHEN startNode(r) = e THEN 'outgoing'
         ELSE 'incoming'
       END AS direction","
MATCH (r:Reaction {id: 'R01280'})-[:PRODUCES*1..3]-(c:Compound) 
WITH r, c
OPTIONAL MATCH (r)-[:CATALYZES*1..3]-(ec:EC)
OPTIONAL MATCH (r)-[:SUBSTRATE_OF*1..3]-(s:Reaction)
RETURN c, ec, s
LIMIT 10;
","To get the neighbors of reaction R01280, we need to find all reactions that are connected to it in the provided list. 

After analyzing the data, I found that there is no direct connection between any reaction and R01280. However, if you want to find a similar reaction or a reaction with a similar name, here's what I can do:

One of the reactions has an ID of `R12300`, which seems to be related to malonate:CoA ligase (AMP-forming). This might not be exactly what you're looking for, but it could be a good starting point.

If you want to find more information about reaction R01280 or its neighbors, I would recommend checking the KEGG database directly."
Phase 1,Aggregation Queries,What connects to pathway path:gmx00280?,,MATCH (n {id: 'path:gmx00280'})-[]-(m) RETURN m,MATCH p=(pathway:Pathway {id:'gmx00280'})-[r*1..3]-() RETURN r LIMIT 20,"
MATCH (p:Pathway {id: 'path:gmx00280'})-[:CONTAINS*1..3]-(n) RETURN n LIMIT 10
",I don't know the answer.
Phase 1,Aggregation Queries,Show all nodes linked to ortholog K00249,,MATCH (n {id: 'K00249'})-[]-(m) RETURN m,MATCH (o:Ortholog {id: 'K00249'})-[r]-(n) RETURN n LIMIT 20,"
MATCH (o:Ortholog {id: 'K00249'})-[*1..3]-(n) RETURN n LIMIT 10;
","The nodes linked to ortholog K00249 are gmx:100778771, 1.3.8.7, and K00249."
Phase 1,Aggregation Queries,Which pathways have the most reactions?,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC","MATCH (p:Pathway)-[:CONTAINS*0..2]-(r:Reaction)<-[:CATALYZES|MEMBER_OF]-(e:EC|FunctionalUnit)<-[:BELONGS_TO|ENCODES]-(g:Gene)
RETURN p.id, COUNT(DISTINCT r) AS num_reactions
ORDER BY num_reactions DESC
LIMIT 10","
MATCH (p:Pathway)-[r:CONTAINS*1..3]-(re:Reaction)
RETURN p.title, COUNT(re) AS num_reactions
ORDER BY num_reactions DESC
LIMIT 10;
","Fatty acid metabolism, Fatty acid biosynthesis has the most reactions."
Phase 1,Aggregation Queries,Rank pathways by number of reactions,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC","MATCH (p:Pathway)-[:CONTAINS*0..]->(r:Reaction) 
RETURN p.id AS pathway_id, COUNT(DISTINCT r) AS num_reactions 
ORDER BY num_reactions DESC 
LIMIT 20","
MATCH p=(pathway:Pathway)-[:CONTAINS*1..3]-(reaction:Reaction)
RETURN pathway.title, COUNT(DISTINCT reaction) AS num_reactions
ORDER BY num_reactions DESC
LIMIT 10;
","Fatty acid metabolism has the most reactions with 164, followed by Fatty acid degradation with 148. The pathway with the least number of reactions is Unknown and Triacylglycerol Biosynthesis with 101 reactions each."
Phase 1,Aggregation Queries,Show pathway sizes based on reaction count,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC","MATCH (p:Pathway)-[:CONTAINS*0..]->(r:Reaction)
WITH p, COUNT(DISTINCT r) AS reaction_count
GROUP BY p.id
RETURN p.id, COUNT(p), AVG(reaction_count), MAX(reaction_count), MIN(reaction_count)
LIMIT 10","
MATCH (p:Pathway)-[r:CONTAINS*1..3]-(reaction:Reaction)
RETURN p.id, COUNT(DISTINCT r) AS reaction_count, COUNT(DISTINCT p) AS pathway_size
ORDER BY pathway_size DESC
LIMIT 10;
",I don't know the answer.
Phase 1,Aggregation Queries,Find largest pathways by reaction R06871 number,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC","MATCH p=(r:Reaction {id:'R06871'})-[:PRODUCES*0..5]-(c:Compound)-[:SUBSTRATE_OF]->(rx:Reaction)<-[:CATALYZES]-(ec:EC)-[:BELONGS_TO|ENCODES]->(g:Gene)-[:MEMBER_OF]->(fu:FunctionalUnit)-[:CONTAINS]->(p2:Pathway) 
RETURN p LIMIT 10","
MATCH p=(path:Pathway)-[:CONTAINS*1..3]-(reaction:Reaction)<-[:CATALYZES]-(ec:EC)
WHERE ec.id = 'R06871'
WITH path, COUNT(*) AS numReactions
ORDER BY numReactions DESC
LIMIT 10
RETURN path;
",I don't know the answer.
Phase 1,Aggregation Queries,Order pathways by reaction count,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC",MATCH (p:Pathway)-[:CONTAINS*0..1]->(r:Reaction) RETURN p ORDER BY size((p)-[:CONTAINS]->()) DESC LIMIT 20,"
MATCH (p:Pathway)-[:CONTAINS*1..3]-(r:Reaction)
RETURN p.title, COUNT(r) AS reaction_count
ORDER BY reaction_count DESC
LIMIT 10;
","Fatty acid metabolism has the most reactions with a total of 147984, followed by Fatty acid biosynthesis with 105876, then Fatty acid degradation with 52724. The remaining pathways have fewer reactions: Glycerophospholipid metabolism (26614), Steroid biosynthesis (19968), Valine, leucine and isoleucine degradation (13556), Fatty acid elongation (11604), Glycerolipid metabolism (8206), Sphingolipid metabolism (8062) and alpha-Linolenic acid metabolism (6849)."
Phase 1,Aggregation Queries,List pathways from most to least reactions,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC","MATCH (p:Pathway)-[:CONTAINS*0..]->(r:Reaction) 
RETURN p.id AS id, COUNT(r) AS reactions ORDER BY reactions DESC LIMIT 20","
MATCH p=(path:Pathway)-[:CONTAINS*1..3]-(r:Reaction)
WITH path, COUNT(r) AS numReactions
ORDER BY numReactions DESC
LIMIT 10
RETURN path;
",I don't know the answer.
Phase 1,Aggregation Queries,Which genes encode multiple enzymes?,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g","MATCH (g:Gene)-[:ENCODES]->(e:EC) 
WHERE e.id IN ['ec:1.1.1.1', 'ec:2.6.1.1'] 
RETURN g.id AS gene_id, COUNT(DISTINCT e.id) AS num_enzymes 
ORDER BY num_enzymes DESC LIMIT 10",ERROR - Invalid query generated,Error: list index out of range
Phase 1,Aggregation Queries,Find orthologs that catalyze more than 5 reactions,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g","MATCH (o:Ortholog)-[:CATALYZES]->(r:Reaction) 
WHERE o.id = 'cpd:C00229' 
WITH COUNT(r) AS count 
WHERE count > 5 
RETURN o.id AS id, COUNT(r) AS count",ERROR - Invalid query generated,Error: list index out of range
Phase 1,Aggregation Queries,Show compounds used in multiple reactions,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g","MATCH (c:Compound)-[:SUBSTRATE_OF|PRODUCES]->(r:Reaction)
WITH c
WHERE size((c)-[:SUBSTRATE_OF|PRODUCES]->()) > 1
RETURN DISTINCT c.id AS compound_id, COUNT(DISTINCT r) AS reaction_count",ERROR - Invalid query generated,Error: list index out of range
Phase 1,Aggregation Queries,Which enzymes catalyze more than 3 reactions?,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g","MATCH (e:EC)-[:CATALYZES]->(r:Reaction) 
WHERE size((e)-[:CATALYZES]->(r)) > 3 
RETURN e.id AS enzyme_id LIMIT 10","
MATCH (ec:EC)-[r:CATALYZES*1..3]->(reaction:Reaction)
WHERE r IS NOT NULL
WITH ec, COUNT(DISTINCT reaction) AS num_reactions
WHERE num_reactions > 3
RETURN ec.name, ec.id, num_reactions
LIMIT 10;
",I don't know the answer.
Phase 1,Aggregation Queries,Find pathways with more than 10 reactions,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g","MATCH (p:Pathway)-[:CONTAINS*0..]->(r:Reaction)<-[:CATALYZES]-(ec:EC)<-[:ENCODES]-(g:Gene)
WHERE size((p)-[:CONTAINS]->()) > 10
RETURN p.id AS pathway_id",ERROR - Invalid query generated,Error: list index out of range
Phase 1,Aggregation Queries,List reactions with multiple substrates,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g","MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction), 
      (e:EC)-[:CATALYZES]->(r) 
RETURN DISTINCT r.id AS reaction_id LIMIT 10","
MATCH (r:Reaction)-[s:SUBSTRATE_OF*1..3]-(c:Compound)
WHERE r.name IS NOT NULL AND c.name IS NOT NULL
RETURN DISTINCT r.name, COUNT(DISTINCT s) AS num_substrates
ORDER BY num_substrates DESC
LIMIT 10;
","phosphatidylcholine 2-acylhydrolase, stearoyl-[acyl-carrier protein],reduced-ferredoxin:oxygen oxidoreductase (9,10 cis-dehydrogenating), phosphatidylcholine phosphatidohydrolase, phosphatidylcholine cholinephosphohydrolase, phosphatidylcholine 1-acylhydrolase, beta-sitosterol,NADPH:oxygen oxidoreductase (22,23-dehydrogenating), 24-epi-campesterol,NADPH:oxygen oxidoreductase (22,23-dehydrogenating) have multiple substrates."
Phase 1,Filtering & Pattern Matching,Find genes starting with AT1G,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n,MATCH (g:Gene {id =~ 'AT1G.*'})-[:ENCODES]->(e) RETURN g LIMIT 10,ERROR - Invalid query generated,Error: list index out of range
Phase 1,Filtering & Pattern Matching,Show enzymes starting with EC:1.1,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n,"MATCH (ec:EC {id: '1.1'})-[:CATALYZES]->(r:Reaction) RETURN ec, r LIMIT 10","
MATCH (ec:EC {id: 'EC:1.1*'})-[:CATALYZES*1..3]->(reaction)
RETURN ec.name, reaction.name
LIMIT 10;
",I don't know the answer.
Phase 1,Filtering & Pattern Matching,Get compounds starting with C000,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n,"MATCH (ec:EC {id: $entity_id})-[:CATALYZES]->(r:Reaction)
      -[:SUBSTRATE_OF|PRODUCES]-(c:Compound)
RETURN DISTINCT c.id AS compound_id, c.name AS compound_name","
MATCH (c:Compound {name: 'C000*'})-[:SUBSTRATE_OF|PRODUCES]-(r:Reaction)-[:CATALYZES]->(ec:EC)<-[:ENCODES]-(g:Gene)
WHERE c.name STARTS WITH 'C000'
RETURN DISTINCT c
LIMIT 10;
",I don't know the answer.
Phase 1,Filtering & Pattern Matching,List pathways starting with path:ats00280,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n,MATCH (p:Pathway)-[:CONTAINS*0..]->(e) WHERE p.id = 'path:ats00280' RETURN e LIMIT 10,"
MATCH p=(path:Pathway {id: 'ats00280'})-[*1..3]-(r:Reaction)-[:CONTAINS*]->(f:FunctionalUnit)
RETURN f.name, r.name
LIMIT 10;
",I don't know the answer.
Phase 1,Filtering & Pattern Matching,Find reactions starting with R000,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n,"MATCH (r:Reaction {id: 'R000'})<-[:CATALYZES]-(ec:EC) 
WITH r
OPTIONAL MATCH (c:Compound)-[:SUBSTRATE_OF]->(r)
RETURN DISTINCT r.id AS reaction_id, ec.id AS enzyme_id, c.id AS compound_id LIMIT 10","
MATCH (r:Reaction {name: ""R000""})-[:CATALYZES*1..3]-(ec:EC)-[:CATALYZES]->(reaction)
RETURN reaction
LIMIT 10;
",I don't know the answer.
Phase 1,Filtering & Pattern Matching,Show orthologs starting with K00,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n,"MATCH (e {id: $entity_id})-[r]-(neighbor)
RETURN neighbor.id AS neighbor_id,
       neighbor.name AS neighbor_name,
       labels(neighbor)[0] AS neighbor_type,
       type(r) AS relationship,
       CASE
         WHEN startNode(r) = e THEN 'outgoing'
         ELSE 'incoming'
       END AS direction",ERROR - Invalid query generated,Error: list index out of range
Phase 1,Filtering & Pattern Matching,Which genes encode enzymes?,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g,MATCH (g:Gene)-[:ENCODES]->(e:EC) RETURN g.id LIMIT 10,"
MATCH (g:Gene)-[:ENCODES*1..3]->(ec:EC)
RETURN g.position, g.name, ec.id, ec.name
LIMIT 10;
","The following genes encode oleoyl-[acyl-carrier-protein] hydrolases (EC 3.1.2.14): 
(RefSeq) acyl-ACP thioesterase, 
(RefSeq) oleoyl-acyl carrier protein thioesterase 1, chloroplastic-like, 
(RefSeq) palmitoyl-acyl carrier protein thioesterase, chloroplastic, 
(RefSeq) myristoyl-acyl carrier protein thioesterase, chloroplastic-like, 
(RefSeq) palmitoyl-acyl carrier protein thioesterase, chloroplastic isoform X1, 
(RefSeq) palmitoyl-acyl carrier protein thioesterase, chloroplastic, 
(RefSeq) acyl-[acyl-carrier-protein] hydrolase FATB2, chloroplastic, 
(RefSeq) oleoyl-acyl carrier protein thioesterase 1, chloroplastic, 
(RefSeq) palmitoyl-acyl carrier protein thioesterase, chloroplastic isoform X2."
Phase 1,Filtering & Pattern Matching,Find compounds that are substrates,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction) RETURN c.id AS compound_id LIMIT 10,ERROR - Invalid query generated,Error: list index out of range
Phase 1,Filtering & Pattern Matching,Show enzymes that catalyze reactions,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g,MATCH (ec:EC)-[:CATALYZES]->(r:Reaction) RETURN ec.id AS enzyme_id LIMIT 10,"
MATCH (o:Ortholog)-[r:CATALYZES*1..3]->(re:Reaction)<-[e:ENCODES]-(ec:EC)
RETURN ec.name, re.name
LIMIT 10;
",I don't know the answer.
Phase 1,Filtering & Pattern Matching,Get reactions with substrates,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g,"MATCH (ec:EC {id: $entity_id})-[:CATALYZES]->(r:Reaction)
RETURN r.id AS reaction_id, r.name AS reaction_name, 
       r.equation AS equation","
MATCH (c:Compound)-[r:SUBSTRATE_OF*1..3]-(reaction:Reaction) 
RETURN reaction LIMIT 10;
",I don't know the answer.
Phase 1,Filtering & Pattern Matching,Which pathways contain reactions?,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g,MATCH p=(:Pathway)-[:CONTAINS*0..]->(r:Reaction) RETURN p LIMIT 10,"
MATCH (p:Pathway)-[r:CONTAINS*1..3]-(c:Compound|Reaction) 
RETURN p.title, c.name
LIMIT 10;
",I don't know the answer.
Phase 1,Filtering & Pattern Matching,Find orthologs with enzyme EC:1.3.1.9 functions,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g,"MATCH (e {id: $entity_id})-[r]-(neighbor)
RETURN neighbor.id AS neighbor_id,
       neighbor.name AS neighbor_name,
       labels(neighbor)[0] AS neighbor_type,
       type(r) AS relationship,
       CASE
         WHEN startNode(r) = e THEN 'outgoing'
         ELSE 'incoming'
       END AS direction","
MATCH (o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(ec:EC)<-[:CATALYZES]-(r:Reaction)
WHERE ec.id = '1.3.1.9'
RETURN o
LIMIT 10;
",I don't know the answer.
Phase 1,Filtering & Pattern Matching,Which genes don't encode any enzymes?,1.0,MATCH (g:Gene) WHERE NOT EXISTS((g)-[:ENCODES]->()) RETURN g,"MATCH (g:Gene)-[:ENCODES]->(e) WHERE NOT e.id IN ['ec:1.1.1.1', 'ec:2.7.3.3'] RETURN g LIMIT 10","
MATCH (g:Gene)-[:ENCODES*1..3]->(ec:EC)
WHERE NOT g.id = ec.id
RETURN DISTINCT g.name, g.position, g.link, g.species, g.id, g.symbol
LIMIT 10;
",I don't know the answer.
Phase 1,Filtering & Pattern Matching,Find compounds that aren't substrates,1.0,MATCH (g:Compound) WHERE NOT EXISTS((g)-[:SUBSTRATE_OF]->()) RETURN g,"MATCH (c:Compound)-[:PRODUCES]->(r:Reaction) 
WHERE NOT ((c)-[:SUBSTRATE_OF]->(r)) 
RETURN c.id AS compound_id LIMIT 10","
MATCH (c:Compound)-[r:SUBSTRATE_OF*1..3]-(reaction:Reaction)
WHERE NOT r IS NULL AND c.id <> reaction.id
RETURN DISTINCT c.name, c.formula, c.exact_mass
LIMIT 10;
",I don't know the answer.
Phase 1,Filtering & Pattern Matching,Show enzymes that don't catalyze reactions,1.0,MATCH (g:EC) WHERE NOT EXISTS((g)-[:CATALYZES]->()) RETURN g,MATCH (e:EC)-[:CATALYZES]->(r:Reaction) RETURN e.id AS enzyme_id WHERE NOT EXISTS ((e)-[:CATALYZES]->(r)) LIMIT 10,"
MATCH (ec:EC)-[r:CATALYZES*1..3]->(reaction:Reaction)
WHERE NOT r IS NULL AND ec.id <> reaction.id
RETURN DISTINCT ec.name, ec.sysname, ec.link
LIMIT 10;
",I don't know the answer.
Phase 1,Filtering & Pattern Matching,Get reactions without products,1.0,MATCH (g:Reaction) WHERE NOT EXISTS((g)-[:PRODUCTS]->()) RETURN g,"MATCH (ec:EC {id: $entity_id})-[:CATALYZES]->(r:Reaction)
RETURN r.id AS reaction_id, r.name AS reaction_name, 
       r.equation AS equation",ERROR - Invalid query generated,Error: list index out of range
Phase 1,Filtering & Pattern Matching,Find orthologs without enzyme functions,1.0,MATCH (g:Ortholog) WHERE NOT EXISTS((g)-[:HAS_ENZYME_FUNCTION]->()) RETURN g,"MATCH (o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(ec:EC) 
WHERE NOT EXISTS ((o)-[:CATALYZES]->()) AND ec.id = 'cpd:C00229' 
RETURN o.id AS id LIMIT 10","
MATCH (o:Ortholog)-[r:HAS_ENZYME_FUNCTION]-(ec:EC)
WHERE NOT r IS NULL
RETURN o.symbol, ec.name
LIMIT 10;
",I don't know the answer.
Phase 1,Filtering & Pattern Matching,Show both genes and orthologs,1.0,MATCH (n) WHERE n:Gene OR n:Ortholog RETURN n LIMIT 100,"MATCH (e {id: $entity_id})-[r]-(neighbor)
RETURN neighbor.id AS neighbor_id,
       neighbor.name AS neighbor_name,
       labels(neighbor)[0] AS neighbor_type,
       type(r) AS relationship,
       CASE
         WHEN startNode(r) = e THEN 'outgoing'
         ELSE 'incoming'
       END AS direction","
MATCH (g:Gene)-[:MEMBER_OF]->(fu:FunctionalUnit),
      (o:Ortholog)-[:MEMBER_OF]->(fu:FunctionalUnit)
RETURN g, o
LIMIT 10;
",I don't know the answer.
Phase 1,Filtering & Pattern Matching,Find either enzymes or reactions,1.0,MATCH (n) WHERE n:EC OR n:Reaction RETURN n LIMIT 100,"MATCH (e:EC)-[:CATALYZES]->(r:Reaction) RETURN e.id, r.id LIMIT 10",ERROR - Invalid query generated,Error: list index out of range
Phase 1,Filtering & Pattern Matching,Get compounds or pathways,1.0,MATCH (n) WHERE n:Gene OR n:Ortholog RETURN n LIMIT 100,"MATCH (c:Compound)-[:SUBSTRATE_OF|PRODUCES]->(r:Reaction)<-[:CATALYZES]-(ec:EC),
      (p:Pathway)-[:CONTAINS]->(ec)
WHERE c.id = 'cpd:C00031' OR p.id = 'pathway:PWY-1000'
RETURN DISTINCT c, r, ec, p LIMIT 10",ERROR - Invalid query generated,Error: list index out of range
Phase 1,Filtering & Pattern Matching,List genes and enzymes,1.0,MATCH (n) WHERE n:Gene OR n:EC RETURN n LIMIT 100,"MATCH (e:Gene) RETURN e LIMIT 20
UNION ALL
MATCH (e:EC) RETURN e LIMIT 20","
MATCH (g:Gene)-[:MEMBER_OF]->(fu:FunctionalUnit),
      (o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(ec:EC)
RETURN g.name, ec.name
LIMIT 10;
","(RefSeq) uncharacterized protein, phosphoethanolamine/phosphocholine phosphatase, oleoyl-[acyl-carrier-protein] hydrolase, dodecanoyl-[acyl-carrier-protein] hydrolase, stearoyl-[acyl-carrier-protein] 9-desaturase, enoyl-[acyl-carrier-protein] reductase (NADH)"
Phase 1,Filtering & Pattern Matching,Show reactions and compounds,1.0,MATCH (n) WHERE n:Reaction OR n:Compounds RETURN n LIMIT 100,"MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction) 
WITH r
OPTIONAL MATCH (o:Ortholog {id:'ortholog_id'})-[:CATALYZES]->(r)
OPTIONAL MATCH (e:EC {id:'ec_id'})-[:CATALYZES]->(r)
RETURN DISTINCT r.id AS reaction_id, c.id AS compound_id, o.id AS ortholog_id, e.id AS ec_id LIMIT 10","
MATCH (r:Reaction)-[p:PRODUCES|SUBSTRATE_OF*1..3]-(c:Compound)
RETURN r, c
LIMIT 10;
",There are 7 reactions and 12 compounds in the provided information.
Phase 1,Filtering & Pattern Matching,Find orthologs or functional units,1.0,MATCH (n) WHERE n:Ortholog OR n:FunctionalUnit RETURN n LIMIT 100,"MATCH path = shortestPath(
    (e1 {id: $entity_id1})-[*..5]-(e2 {id: $entity_id2})
)
WHERE e1 <> e2
RETURN [node in nodes(path) | {
    id: node.id,
    name: node.name,
    type: labels(node)[0]
}] AS path_nodes,
[rel in relationships(path) | type(rel)] AS path_relationships,
length(path) AS path_length
ORDER BY path_length","
MATCH (o:Ortholog)-[r1:MEMBER_OF*1..3]->(fu:FunctionalUnit),
      (g:Gene)-[r2:BELONGS_TO]->(o)
RETURN o, fu
LIMIT 10;
",I don't know the answer.
Phase 1,Filtering & Pattern Matching,Which genes are most connected?,1.0,"MATCH (n:Gene)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10","MATCH (g:Gene)-[:ENCODES]->(e:EC) 
WITH g, COUNT(*) as count 
ORDER BY count DESC 
RETURN g.id AS gene_id, COUNT(*) as count LIMIT 10",ERROR - Invalid query generated,Error: list index out of range
Phase 1,Filtering & Pattern Matching,Find most connected compounds,1.0,"MATCH (n:Compound)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10","MATCH (c1:Compound)-[r*1..3]-()<-[:SUBSTRATE_OF]-(c2:Compound) 
WHERE c1.id = 'cpd:C00031' AND c2.id = 'cpd:C00132'
RETURN c1, r, c2 LIMIT 10","
MATCH (c:Compound)-[r*1..3]-(n) 
RETURN c.id, COUNT(DISTINCT r) AS degree 
ORDER BY degree DESC 
LIMIT 10;
","The most connected compounds are C00080, C00001."
Phase 1,Filtering & Pattern Matching,Show enzymes with most connections,1.0,"MATCH (n:EC)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10",MATCH (e:EC)-[:CATALYZES]->(r:Reaction) RETURN e.id ORDER BY size((e)-[]->()) DESC LIMIT 10,ERROR - Invalid query generated,Error: list index out of range
Phase 1,Filtering & Pattern Matching,Get most connected reactions,1.0,"MATCH (n:Reaction)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10","MATCH (ec:EC {id: $entity_id})-[:CATALYZES]->(r:Reaction)
RETURN r.id AS reaction_id, r.name AS reaction_name, 
       r.equation AS equation
ORDER BY name ASC","
MATCH (r:Reaction)-[rel*1..3]-(n) 
RETURN r.name, COUNT(rel) AS degree 
ORDER BY degree DESC 
LIMIT 10;
","acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating), malonyl-CoA:[acyl-carrier-protein] S-malonyltransferase are the most connected reactions."
