Result,Reason (Match Type),Counts (Bot / GT),Missing IDs (Example),Extra IDs (Example),Question,Bot Query,Truth Query
❌ Incorrect,Count Mismatch,1 / 1,['[]'],"['R04019', 'R08174', 'phsophatidyl-L-serine carboxy-lyase']",How many reactions use compound C00022 as substrate?,MATCH (n:Reaction) RETURN count(n),MATCH (n {id: 'C00022'})-[r]->(m) RETURN count(r)
Invalid (GT Error),"GT Error: Error: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '{': expected a node label/relationship type name, '$', '%' or '(' (line 1, column 19 (offset: 18))
""MATCH (n)-[r]->(m:{id:'K00010'}) RETURN count(r)""
                   ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}",0 / 0,,,Count genes in ortholog K00010,MATCH (o:Ortholog {id: 'K00010'})-[:BELONGS_TO]-(g:Gene) RETURN count(g),MATCH (n)-[r]->(m:{id:'K00010'}) RETURN count(r)
Invalid (GT Error),"GT Error: Error: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '{': expected a node label/relationship type name, '$', '%' or '(' (line 1, column 19 (offset: 18))
""MATCH (n)-[r]->(m:{id:'K00010'}) RETURN count(r)""
                   ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}",0 / 0,,,Count genes in ortholog K00010,MATCH (o:Ortholog {id: 'K00010'})-[:BELONGS_TO]-(g:Gene) RETURN count(g),MATCH (n)-[r]->(m:{id:'K00010'}) RETURN count(r)
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): id} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,How many reactions are in pathway ko00010?,MATCH (p:Pathway {id: 'ko00010'})-[:CONTAINS]-(r:Reaction) RETURN count(r),MATCH (n {id: $id})-[r]->(m) RETURN count(r)
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): id} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,Count functional units in pathway ko00020,MATCH (p:Pathway {id: 'ko00020'})-[:CONTAINS]-(r:Reaction) RETURN count(r),MATCH (n {id: $id})-[r]->(m) RETURN count(r)
✅ Correct,Empty Match,1 / 1,-,-,How many genes encode enzyme EC:1.1.1.1?,MATCH (o:Ortholog {id: '1.1.1.1'})-[:BELONGS_TO]-(g:Gene) RETURN count(g),MATCH (n)-[r]->(m {id: 'EC:1.1.1.1'}) RETURN count(r)
✅ Correct,Empty Match,1 / 1,-,-,Count genes in ortholog K00010,MATCH (o:Ortholog {id: 'K00010'})-[:BELONGS_TO]-(g:Gene) RETURN count(g),MATCH (n)-[r]->(m {id: 'K00010'}) RETURN count(r)
✅ Correct,Empty Match,1 / 1,-,-,Count genes in ortholog K00010,MATCH (o:Ortholog {id: 'K00010'})-[:BELONGS_TO]-(g:Gene) RETURN count(g),MATCH (n)-[r]->(m {id: 'K00010'}) RETURN count(r)
✅ Correct,Subset Match,1 / 1,-,"['R04019', 'R08174', 'phsophatidyl-L-serine carboxy-lyase']",How many reactions produce compound C00022?,MATCH (n:Reaction) RETURN count(n),MATCH (n)-[r]->(m {id: 'C00022'}) RETURN count(r)
✅ Correct,Empty Match,1 / 1,-,-,Count enzymes that catalyze reaction R00001?,MATCH (g:Gene {id: 'R00001'})-[:ENCODES]-(e:EC) RETURN count(e),MATCH (n)-[r]->(m {id: 'R00001'}) RETURN count(r)
✅ Correct,Subset Match,1 / 1,-,"['C05267', 'Ceramide phosphoethanolamine', 'C20879']",How many compounds are substrates of reaction R00010?,MATCH (n:Compound) RETURN count(n),MATCH (n)-[r]->(m {id: 'R00010'}) RETURN count(r)
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): id} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,Count reactions in pathway ko00010,MATCH (p:Pathway {id: 'ko00010'})-[:CONTAINS]-(r:Reaction) RETURN count(r),MATCH (n)-[r]->(m {id: $id}) RETURN count(r)
✅ Correct,Subset Match,0 / 1,['FunctionalUnit'],-,What types of nodes is gene ats:109761713 connected to?,MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]-(e:EC) RETURN e,MATCH (n {id: 'ats:109761713'})-[]->(m) RETURN DISTINCT labels(m)
❌ Incorrect,Mismatch,11 / 2,"['Reaction', 'FunctionalUnit']","['R08174', 'R08180', 'R08177']",Show node types connected to pathway path:ats01040,MATCH (p:Pathway {id: 'path:ats01040'})-[:CONTAINS]-(r:Reaction) RETURN r,MATCH (n {id: 'path:ats01040'})-[]->(m) RETURN DISTINCT labels(m)
❌ Incorrect,Mismatch,1 / 1,['Reaction'],"['R05064', '(S)-3-hydroxyisobutyryl-CoA hydrolase']",What entities does compound C06000 interact with?,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,MATCH (n {id: 'C06000'})-[]->(m) RETURN DISTINCT labels(m)
✅ Correct,Empty Match,0 / 0,-,-,List node types connected to enzyme EC:1.3.1.21,MATCH (e:EC {id: 'EC:1.3.1.21'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (n {id: 'EC:1.3.1.21'})-[]->(m) RETURN DISTINCT labels(m)
❌ Incorrect,Mismatch,1 / 1,['Compound'],"['(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]', 'C16220']",What types of nodes connect to reaction R07764?,MATCH (c:Compound)-[:SUBSTRATE_OF]-(r:Reaction {id: 'R07764'}) RETURN c,MATCH (n {id: 'R07764'})-[]->(m) RETURN DISTINCT labels(m)
❌ Incorrect,Mismatch,1 / 2,"['Reaction', 'EC']","['(RefSeq) acetyl-CoA carboxylase 1', 'gmx:100778658']",Show entity types linked to ortholog K11262,MATCH (g:Gene)-[:BELONGS_TO]-(o:Ortholog {id: 'K11262'}) RETURN g,MATCH (n {id: 'K11262'})-[]->(m) RETURN DISTINCT labels(m)
✅ Correct,Subset Match,1 / 0,-,"['2.3.1.12', 'dihydrolipoyllysine-residue acetyltransferase']",What is connected to gene ath:AT1G54220?,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:ENCODES]-(e:EC) RETURN e,MATCH (n {id: 'AT1G54220'})-[]-(m) RETURN m
✅ Correct,Subset Match,0 / 1,"['(S)-3-hydroxy-3-methylglutaryl-CoA acetoacetate-lyase (acetyl-CoA-forming)', 'R01360']",-,Show all neighbors of compound C00164,MATCH (c1:Compound {id: 'C00164'})-[:SUBSTRATE_OF]-(r:Reaction)-[:PRODUCES]-(c2:Compound) RETURN c2,MATCH (n {id: 'C00164'})-[]-(m) RETURN m
✅ Correct,Empty Match,0 / 0,-,-,Find all entities connected to enzyme EC:1.13.11.33,MATCH (g:Gene {id: 'EC:1.13.11.33'})-[:ENCODES]-(e:EC)-[:CATALYZES]-(r:Reaction)-[:PRODUCES]-(c:Compound) RETURN c,MATCH (n {id: 'EC:1.13.11.33'})-[]-(m) RETURN m
✅ Correct,Subset Match,0 / 22,"['Diphosphate', 'C00154', 'Palmitoyl-CoA']",-,Get neighbors of reaction R01280,MATCH (c1:Compound {id: 'R01280'})-[:SUBSTRATE_OF]-(r:Reaction)-[:PRODUCES]-(c2:Compound) RETURN c2,MATCH (n {id: 'R01280'})-[]-(m) RETURN m
✅ Correct,Full Match,31 / 31,-,-,What connects to pathway path:gmx00280?,MATCH (p:Pathway {id: 'path:gmx00280'})-[:CONTAINS]-(r:Reaction) RETURN r,MATCH (n {id: 'path:gmx00280'})-[]-(m) RETURN m
✅ Correct,Subset Match,1 / 13,"['tetradecanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase', 'gmx:100788184', 'R01279']",-,Show all nodes linked to ortholog K00249,MATCH (o:Ortholog {id: 'K00249'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,MATCH (n {id: 'K00249'})-[]-(m) RETURN m
✅ Correct,Subset Match,10 / 88,"['R08174', 'R04019', 'phsophatidyl-L-serine carboxy-lyase']",-,Which pathways have the most reactions?,"MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction) RETURN p.id, count(r) AS cnt ORDER BY cnt DESC LIMIT 10","MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC"
✅ Correct,Full Match,88 / 88,-,['None'],Rank pathways by number of reactions,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction)
RETURN p.id, p.name, count(r) AS numberOfReactions
ORDER BY numberOfReactions DESC","MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC"
✅ Correct,Full Match,88 / 88,-,-,Show pathway sizes based on reaction count,"MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction) RETURN p.id, count(r)","MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC"
✅ Correct,Subset Match,1 / 88,"['R08174', 'R04019', 'phsophatidyl-L-serine carboxy-lyase']",['Glycerophospholipid metabolism'],Find largest pathways by reaction R06871 number,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'R06871'}) RETURN p,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC"
✅ Correct,Full Match,88 / 88,-,-,Order pathways by reaction count,"MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction)
RETURN p.id, count(r) AS reactionCount
ORDER BY reactionCount DESC","MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC"
✅ Correct,Subset Match,10 / 88,"['R08174', 'R04019', 'phsophatidyl-L-serine carboxy-lyase']",-,List pathways from most to least reactions,"MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction) RETURN p.id, count(r) AS cnt ORDER BY cnt DESC LIMIT 10","MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC"
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): threshold} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,Which genes encode multiple enzymes?,MATCH (n:Gene) RETURN n LIMIT 100,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g"
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): threshold} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,Find orthologs that catalyze more than 5 reactions,MATCH (n:Ortholog) RETURN n LIMIT 100,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g"
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): threshold} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,Show compounds used in multiple reactions,"MATCH (c:Compound)-[:SUBSTRATE_OF|PRODUCES]-(r:Reaction)
WITH c, count(DISTINCT r) AS reactionCount
WHERE reactionCount > 1
RETURN c","MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g"
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): threshold} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,Which enzymes catalyze more than 3 reactions?,"MATCH (enzyme:EC)-[:CATALYZES]->(reaction:Reaction)
WITH enzyme, COUNT(reaction) AS num_reactions
WHERE num_reactions > 3
RETURN enzyme","MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g"
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): threshold} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,Find pathways with more than 10 reactions,"MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction) RETURN p.id, count(r) AS cnt ORDER BY cnt DESC LIMIT 10","MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g"
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): threshold} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,List reactions with multiple substrates,MATCH (n:Reaction) RETURN n LIMIT 100,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g"
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): prefix} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,Find genes starting with AT1G,MATCH (n:Gene {id: 'AT1G'}) RETURN n,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): prefix} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,Show enzymes starting with EC:1.1,MATCH (n:EC {id: '1.1'}) RETURN n,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): prefix} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,Get compounds starting with C000,MATCH (n:Compound {id: 'C000'}) RETURN n,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): prefix} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,List pathways starting with path:ats00280,MATCH (n:Pathway) RETURN n LIMIT 100,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): prefix} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,Find reactions starting with R000,MATCH (n:Reaction {id: 'R000'}) RETURN n,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): prefix} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,Show orthologs starting with K00,MATCH (n:Ortholog) RETURN n LIMIT 100,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n
✅ Correct,Full Match,992 / 900,-,-,Which genes encode enzymes?,MATCH (g:Gene)-[:ENCODES]-(e:EC) RETURN g,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g
❌ Incorrect,Mismatch,100 / 900,"['(RefSeq) lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial isoform X1', '(RefSeq) delta(24)-sterol reductase', '(RefSeq) diacylglycerol O-acyltransferase 1A isoform 1']","['C00229', 'C15780', 'C05108']",Find compounds that are substrates,"MATCH (c:Compound)-[:SUBSTRATE_OF]-(:Reaction)
RETURN DISTINCT c
LIMIT 100",MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g
❌ Incorrect,Mismatch,100 / 900,"['(RefSeq) lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial isoform X1', '(RefSeq) delta(24)-sterol reductase', '(RefSeq) diacylglycerol O-acyltransferase 1A isoform 1']","['L-pipecolate oxidase', '1.1.1.-', '1.14.14.154']",Show enzymes that catalyze reactions,MATCH (n:EC) RETURN n LIMIT 100,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g
✅ Correct,Subset Match,0 / 900,"['(RefSeq) lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial isoform X1', '(RefSeq) delta(24)-sterol reductase', '(RefSeq) diacylglycerol O-acyltransferase 1A isoform 1']",-,Get reactions with substrates,MATCH (c:Compound {id: '2.7.7.14'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g
❌ Incorrect,Mismatch,2006 / 900,"['(RefSeq) lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial isoform X1', '(RefSeq) delta(24)-sterol reductase', '(RefSeq) diacylglycerol O-acyltransferase 1A isoform 1']","['path:csat00603', 'path:ats00603', 'path:ath00310']",Which pathways contain reactions?,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction) RETURN p,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g
❌ Incorrect,Mismatch,100 / 900,"['(RefSeq) lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial isoform X1', '(RefSeq) delta(24)-sterol reductase', '(RefSeq) diacylglycerol O-acyltransferase 1A isoform 1']","['K07508', 'K00626', 'ACAA1']",Find orthologs with enzyme EC:1.3.1.9 functions,MATCH (n:Ortholog) RETURN n LIMIT 100,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g
✅ Correct,Full Match,1010 / 1010,-,-,Which genes don't encode any enzymes?,"MATCH (g:Gene)
WHERE NOT EXISTS((g)-[:ENCODES]->(:EC))
RETURN g",MATCH (g:Gene) WHERE NOT EXISTS((g)-[:ENCODES]->()) RETURN g
✅ Correct,Full Match,182 / 182,-,-,Find compounds that aren't substrates,MATCH (c:Compound) WHERE NOT (c)-[:SUBSTRATE_OF]->() RETURN c,MATCH (g:Compound) WHERE NOT EXISTS((g)-[:SUBSTRATE_OF]->()) RETURN g
❌ Incorrect,Mismatch,100 / 26,"['1.14.19.4', '2.7.1.*', '1.1.1.*']","['L-pipecolate oxidase', '1.1.1.-', '1.14.14.154']",Show enzymes that don't catalyze reactions,MATCH (n:EC) RETURN n LIMIT 100,MATCH (g:EC) WHERE NOT EXISTS((g)-[:CATALYZES]->()) RETURN g
✅ Correct,Subset Match,0 / 484,"['R04019', 'R08174', 'phsophatidyl-L-serine carboxy-lyase']",-,Get reactions without products,MATCH (r:Reaction) WHERE NOT (r)-[:PRODUCES]-() RETURN r,MATCH (g:Reaction) WHERE NOT EXISTS((g)-[:PRODUCTS]->()) RETURN g
❌ Incorrect,Mismatch,26 / 63,"['K18681', 'K15639', 'K12618']","['1.14.19.4', '2.7.1.*', '1.1.1.*']",Find orthologs without enzyme functions,MATCH (e:EC) WHERE NOT (e)-[:CATALYZES]-() RETURN e,MATCH (g:Ortholog) WHERE NOT EXISTS((g)-[:HAS_ENZYME_FUNCTION]->()) RETURN g
✅ Correct,Full Match,100 / 100,-,-,Show both genes and orthologs,"MATCH (n)
WHERE n:Gene OR n:Ortholog
RETURN n
LIMIT 100",MATCH (n) WHERE n:Gene OR n:Ortholog RETURN n LIMIT 100
❌ Incorrect,Mismatch,297 / 100,"['R04970', 'hexadecanoyl-CoA:NADP+ trans-2-oxidoreductase;', '(3R)-3-hydroxydecanoyl-[acyl-carrier-protein] hydro-lyase']","['1.13.11.92', '1.14.14.154', '3.6.1.1']",Find either enzymes or reactions,MATCH (n:EC) RETURN n,MATCH (n) WHERE n:EC OR n:Reaction RETURN n LIMIT 100
❌ Incorrect,Mismatch,100 / 100,"['(RefSeq) very-long-chain 3-oxoacyl-CoA reductase 1 isoform X2', '(RefSeq) beta-hexosaminidase 3 isoform X1', 'ats:109733956']","['C00229', 'Diphosphate', 'C20879']",Get compounds or pathways,MATCH (n:Compound) RETURN n LIMIT 100,MATCH (n) WHERE n:Gene OR n:Ortholog RETURN n LIMIT 100
✅ Correct,Subset Match,100 / 100,"['phosphoethanolamine/phosphocholine phosphatase', '3.1.3.75']",['ats:109732569'],List genes and enzymes,MATCH (n:Gene) RETURN n LIMIT 100,MATCH (n) WHERE n:Gene OR n:EC RETURN n LIMIT 100
✅ Correct,Full Match,100 / 100,-,-,Show reactions and compounds,MATCH (n:Reaction) RETURN n LIMIT 100,MATCH (n) WHERE n:Reaction OR n:Compounds RETURN n LIMIT 100
✅ Correct,Subset Match,0 / 100,"['path:ats01040_263', 'path:ats03018_166', 'path:ats03018_133']",-,Find orthologs or functional units,MATCH (g:Gene {id: 'C00229'})-[:BELONGS_TO]-(o:Ortholog) RETURN o,MATCH (n) WHERE n:Ortholog OR n:FunctionalUnit RETURN n LIMIT 100
❌ Incorrect,Mismatch,100 / 10,"['(RefSeq) exosome complex component RRP43', 'csat:104716965', 'csat:104787145']","['(RefSeq) very-long-chain 3-oxoacyl-CoA reductase 1 isoform X2', '(RefSeq) beta-hexosaminidase 3 isoform X1', 'ats:109733956']",Which genes are most connected?,MATCH (n:Gene) RETURN n LIMIT 100,"MATCH (n:Gene)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10"
✅ Correct,Subset Match,100 / 10,"['C00322', 'C00011', 'C01087']","['Peptidylproline (omega=0)', 'CMP-3-deoxy-D-manno-octulosonate', 'Long-chain 3-hydroxysterol ester']",Find most connected compounds,"MATCH (c:Compound)-[r]-()
RETURN c.name, count(r) AS connectionCount
ORDER BY connectionCount DESC
LIMIT 100","MATCH (n:Compound)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10"
❌ Incorrect,Mismatch,100 / 10,"['3.6.1.1', '6.3.2.19', 'Deleted entry']","['L-pipecolate oxidase', '1.1.1.-', '1.14.14.154']",Show enzymes with most connections,MATCH (n:EC) RETURN n LIMIT 100,"MATCH (n:EC)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10"
❌ Incorrect,Mismatch,100 / 10,"['tetradecanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase', 'R01279', 'octadecanoyl-CoA:NADP+ trans-2-oxidoreductase']","['R04970', 'hexadecanoyl-CoA:NADP+ trans-2-oxidoreductase;', '(3R)-3-hydroxydecanoyl-[acyl-carrier-protein] hydro-lyase']",Get most connected reactions,MATCH (n:Reaction) RETURN n LIMIT 100,"MATCH (n:Reaction)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10"
❌ Incorrect,Mismatch,10 / 10,"['RNA degradation', 'path:csat03018']","['aralip_15', 'rn:R04606', 'aralip_32']",Which pathways have most connections?,"MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction) RETURN p.id, count(r) AS cnt ORDER BY cnt DESC LIMIT 10","MATCH (n:Pathway)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10"
❌ Incorrect,Mismatch,100 / 10,"['K18681', 'rnj', 'U8 snoRNA-decapping enzyme [EC:3.6.1.62 3.6.1.64]']","['ACAA1', 'K00626', 'K10703']",Find hub orthologs in the network,MATCH (n:Ortholog) RETURN n LIMIT 100,"MATCH (n:Ortholog)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10"
✅ Correct,Subset Match,100 / 10,-,"['(RefSeq) very-long-chain 3-oxoacyl-CoA reductase 1 isoform X2', '(RefSeq) beta-hexosaminidase 3 isoform X1', 'ats:109733956']",Show me 10 random genes,MATCH (n:Gene) RETURN n LIMIT 100,MATCH (n:Gene) RETURN n LIMIT 10
✅ Correct,Subset Match,100 / 5,-,"['path:csat00603', 'path:ats00603', 'Other glycan degradation']",Get 5 sample pathways,MATCH (n:Pathway) RETURN n LIMIT 100,MATCH (n:Pathway) RETURN n LIMIT 5
✅ Correct,Subset Match,100 / 20,-,"['Diphosphate', 'C20879', 'C01144']",Display 20 compounds,MATCH (n:Compound) RETURN n LIMIT 100,MATCH (n:Compound) RETURN n LIMIT 20
✅ Correct,Subset Match,100 / 15,-,"['R04970', 'hexadecanoyl-CoA:NADP+ trans-2-oxidoreductase;', '(3R)-3-hydroxydecanoyl-[acyl-carrier-protein] hydro-lyase']",Give me 15 reactions,MATCH (n:Reaction) RETURN n LIMIT 100,MATCH (n:Reaction) RETURN n LIMIT 15
✅ Correct,Subset Match,100 / 10,-,"['L-pipecolate oxidase', '1.1.1.-', '1.14.14.154']",Show 10 example enzymes,MATCH (n:EC) RETURN n LIMIT 100,MATCH (n:EC) RETURN n LIMIT 10
✅ Correct,Subset Match,100 / 5,-,"['ACAA1', 'K00626', 'K10703']",List 5 orthologs,MATCH (n:Ortholog) RETURN n LIMIT 100,MATCH (n:Ortholog) RETURN n LIMIT 5
✅ Correct,Empty Match,0 / 0,-,-,What reactions is gene ath:AT1G01040 involved in through its ortholog?,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]-(o:Ortholog)-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,Show reactions catalyzed by the ortholog of gene ath:AT1G01050,MATCH (o:Ortholog {id: 'ath:AT1G01050'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,Find reactions for gene ats:109733199 via ortholog,MATCH (g:Gene {id: 'ats:109733199'})-[:BELONGS_TO]-(o:Ortholog)-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (g:Gene {id: 'ats:109733199'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,Get reactions that gene ats:109761713 participates in through ortholog,MATCH (g:Gene {id: 'ats:109761713'})-[:BELONGS_TO]-(o:Ortholog)-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (g:Gene {id: 'ats:109761713'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Subset Match,1 / 0,-,"['rn:R02569', 'acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase']",Which reactions does gene ath:AT1G54220 indirectly catalyze?,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:ENCODES]-(e:EC)-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (g:Gene {id: 'AT1G54220'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,List reactions connected to gene ath:AT2G06990 through ortholog groups,MATCH (g:Gene {id: 'ath:AT2G06990'})-[:BELONGS_TO]-(o:Ortholog)-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (g:Gene {id: 'AT2G06990'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,What reactions does gene ath:AT5G61540 catalyze through its enzymes?,MATCH (e:EC {id: 'ath:AT5G61540'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (g:Gene {id: 'AT5G61540'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r
